region_fips,locality,estimate,moe,pop_3_to_24yr,percent,label,year
003;540,Charlottesville-Albemarle Region,39102,990.3655890629481,46509,84.07,3 to 24 year olds enrolled in school,2018
003;540,Charlottesville-Albemarle Region,39571,960.2202872258011,46428,85.23,3 to 24 year olds enrolled in school,2019
003;540,Charlottesville-Albemarle Region,40374,1135.3387159786282,46928,86.03,3 to 24 year olds enrolled in school,2020
003;540,Charlottesville-Albemarle Region,40459,1099.8468075145738,47200,85.72,3 to 24 year olds enrolled in school,2021
003;540,Charlottesville-Albemarle Region,40931,1115.0354254462052,47584,86.02,3 to 24 year olds enrolled in school,2022
