GEOID,locality,estimate,moe,total_pop,percent,year,label
51003,"Albemarle County, Virginia",99377,731,112513,88.32,2022,"U.S. citizen, born in the United States"
51003,"Albemarle County, Virginia",307,193,112513,0.27,2022,"U.S. citizen, born in Puerto Rico or U.S. Island Areas"
51003,"Albemarle County, Virginia",1487,311,112513,1.32,2022,"U.S. citizen, born abroad of American parent(s)"
51003,"Albemarle County, Virginia",5048,530,112513,4.49,2022,U.S. citizen by naturalization
51003,"Albemarle County, Virginia",6294,686,112513,5.59,2022,Not a U.S. citizen
