GEOID,NAME,tract,locality,state,summary_est,summary_moe,estimate_insured,estimate_uninsured,moe_insured,moe_uninsured,percent_insured,percent_uninsured,year,county,locality_num,tract_num,tractnames
51003010100,Census Tract 101; Albemarle County; Virginia,Census Tract 101,Albemarle County,Virginia,4558,460,4447,111,450,81,97.56,2.44,2023,Albemarle,003,010100,Free Union
51003010201,Census Tract 102.01; Albemarle County; Virginia,Census Tract 102.01,Albemarle County,Virginia,6109,661,5946,163,667,102,97.33,2.67,2023,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Census Tract 102.02; Albemarle County; Virginia,Census Tract 102.02,Albemarle County,Virginia,3216,421,3180,36,419,32,98.88,1.12,2023,Albemarle,003,010202,Earlysville
51003010301,Census Tract 103.01; Albemarle County; Virginia,Census Tract 103.01,Albemarle County,Virginia,2222,354,2082,140,359,89,93.7,6.3,2023,Albemarle,003,010301,Berkmar Drive
51003010302,Census Tract 103.02; Albemarle County; Virginia,Census Tract 103.02,Albemarle County,Virginia,1270,127,1264,6,127,9,99.53,0.47,2023,Albemarle,003,010302,Polo Grounds Road
51003010303,Census Tract 103.03; Albemarle County; Virginia,Census Tract 103.03,Albemarle County,Virginia,5437,575,5201,236,557,149,95.66,4.34,2023,Albemarle,003,010303,Hollymead
51003010401,Census Tract 104.01; Albemarle County; Virginia,Census Tract 104.01,Albemarle County,Virginia,4556,621,4424,132,617,87,97.1,2.9,2023,Albemarle,003,010401,Stony Point-Keswick
51003010402,Census Tract 104.02; Albemarle County; Virginia,Census Tract 104.02,Albemarle County,Virginia,3517,457,3430,87,454,71,97.53,2.47,2023,Albemarle,003,010402,Village of Rivanna
51003010501,Census Tract 105.01; Albemarle County; Virginia,Census Tract 105.01,Albemarle County,Virginia,3067,536,2968,99,553,84,96.77,3.23,2023,Albemarle,003,010501,Darden-Key West
51003010502,Census Tract 105.02; Albemarle County; Virginia,Census Tract 105.02,Albemarle County,Virginia,2657,422,2655,2,423,3,99.92,0.08,2023,Albemarle,003,010502,Pantops
51003010602,Census Tract 106.02; Albemarle County; Virginia,Census Tract 106.02,Albemarle County,Virginia,4565,443,4465,100,414,88,97.81,2.19,2023,Albemarle,003,010602,Dunlora-Stone Henge
51003010603,Census Tract 106.03; Albemarle County; Virginia,Census Tract 106.03,Albemarle County,Virginia,2316,522,2296,20,522,23,99.14,0.86,2023,Albemarle,003,010603,Branchland
51003010604,Census Tract 106.04; Albemarle County; Virginia,Census Tract 106.04,Albemarle County,Virginia,4171,485,4082,89,464,83,97.87,2.13,2023,Albemarle,003,010604,Woodbrook-Carrsbrook
51003010701,Census Tract 107.01; Albemarle County; Virginia,Census Tract 107.01,Albemarle County,Virginia,2888,509,2605,283,456,210,90.2,9.8,2023,Albemarle,003,010701,Hydraulic
51003010702,Census Tract 107.02; Albemarle County; Virginia,Census Tract 107.02,Albemarle County,Virginia,3207,618,2801,406,534,271,87.34,12.66,2023,Albemarle,003,010702,Commonwealth-Townwood-Berkmar
51003010801,Census Tract 108.01; Albemarle County; Virginia,Census Tract 108.01,Albemarle County,Virginia,3485,515,3160,325,409,231,90.67,9.33,2023,Albemarle,003,010801,Barracks-Hessian Hills
51003010802,Census Tract 108.02; Albemarle County; Virginia,Census Tract 108.02,Albemarle County,Virginia,2576,385,1776,800,294,399,68.94,31.06,2023,Albemarle,003,010802,Albemarle High School
51003010901,Census Tract 109.01; Albemarle County; Virginia,Census Tract 109.01,Albemarle County,Virginia,1900,228,1847,53,224,46,97.21,2.79,2023,Albemarle,003,010901,Old Ivy-Darden School (UVA)
51003010904,Census Tract 109.04; Albemarle County; Virginia,Census Tract 109.04,Albemarle County,Virginia,7249,429,6975,274,377,155,96.22,3.78,2023,Albemarle,003,010904,Carr's Hill-McCormick Road (UVA)
51003011000,Census Tract 110; Albemarle County; Virginia,Census Tract 110,Albemarle County,Virginia,6410,830,6279,131,760,161,97.96,2.04,2023,Albemarle,003,011000,Ivy
51003011101,Census Tract 111.01; Albemarle County; Virginia,Census Tract 111.01,Albemarle County,Virginia,2401,279,2387,14,281,16,99.42,0.58,2023,Albemarle,003,011101,Crozet-Beaver Creek
51003011102,Census Tract 111.02; Albemarle County; Virginia,Census Tract 111.02,Albemarle County,Virginia,3278,481,3191,87,471,63,97.35,2.65,2023,Albemarle,003,011102,Western Ridge-Westhall
51003011103,Census Tract 111.03; Albemarle County; Virginia,Census Tract 111.03,Albemarle County,Virginia,4424,574,4265,159,581,145,96.41,3.59,2023,Albemarle,003,011103,Old Trail
51003011201,Census Tract 112.01; Albemarle County; Virginia,Census Tract 112.01,Albemarle County,Virginia,4562,494,4261,301,492,117,93.4,6.6,2023,Albemarle,003,011201,"Yancey Mills, Batesville"
51003011202,Census Tract 112.02; Albemarle County; Virginia,Census Tract 112.02,Albemarle County,Virginia,3887,364,3755,132,343,100,96.6,3.4,2023,Albemarle,003,011202,North Garden
51003011301,Census Tract 113.01; Albemarle County; Virginia,Census Tract 113.01,Albemarle County,Virginia,4919,494,4644,275,459,179,94.41,5.59,2023,Albemarle,003,011301,"Monticello, Carters Mountain"
51003011302,Census Tract 113.02; Albemarle County; Virginia,Census Tract 113.02,Albemarle County,Virginia,4994,664,3982,1012,422,394,79.74,20.26,2023,Albemarle,003,011302,"Oak Hill, Southwood"
51003011303,Census Tract 113.03; Albemarle County; Virginia,Census Tract 113.03,Albemarle County,Virginia,3688,459,3566,122,408,118,96.69,3.31,2023,Albemarle,003,011303,Avon Street Ext.-Mill Creek
51003011400,Census Tract 114; Albemarle County; Virginia,Census Tract 114,Albemarle County,Virginia,4634,617,4117,517,631,203,88.84,11.16,2023,Albemarle,003,011400,Southern Albemarle-Scottsville
