GEOID,locality,estimate,moe,pop_25_over,percent,label,year
51540,"Charlottesville city, Virginia",9098,644,29416,30.93,Graduate or professional degree,2022
51540,"Charlottesville city, Virginia",27057,478,29416,91.98,High school graduate or higher,2022
51540,"Charlottesville city, Virginia",17339,650,29416,58.94,Bachelor's degree or higher,2022
51540,"Charlottesville city, Virginia",8949,619,30077,29.75,Graduate or professional degree,2021
51540,"Charlottesville city, Virginia",27786,393,30077,92.38,High school graduate or higher,2021
51540,"Charlottesville city, Virginia",17437,581,30077,57.97,Bachelor's degree or higher,2021
51540,"Charlottesville city, Virginia",8685,663,30341,28.62,Graduate or professional degree,2020
51540,"Charlottesville city, Virginia",27592,444,30341,90.94,High school graduate or higher,2020
51540,"Charlottesville city, Virginia",16915,629,30341,55.75,Bachelor's degree or higher,2020
51540,"Charlottesville city, Virginia",8638,508,30356,28.46,Graduate or professional degree,2019
51540,"Charlottesville city, Virginia",27663,364,30356,91.13,High school graduate or higher,2019
51540,"Charlottesville city, Virginia",16679,562,30356,54.94,Bachelor's degree or higher,2019
51540,"Charlottesville city, Virginia",8209,583,30125,27.25,Graduate or professional degree,2018
51540,"Charlottesville city, Virginia",27397,410,30125,90.94,High school graduate or higher,2018
51540,"Charlottesville city, Virginia",15847,691,30125,52.6,Bachelor's degree or higher,2018
51540,"Charlottesville city, Virginia",7923,580,29754,26.63,Graduate or professional degree,2017
51540,"Charlottesville city, Virginia",NA,NA,29754,NA,High school graduate or higher,2017
51540,"Charlottesville city, Virginia",NA,NA,29754,NA,Bachelor's degree or higher,2017
51540,"Charlottesville city, Virginia",7540,508,28530,26.43,Graduate or professional degree,2016
51540,"Charlottesville city, Virginia",NA,NA,28530,NA,High school graduate or higher,2016
51540,"Charlottesville city, Virginia",NA,NA,28530,NA,Bachelor's degree or higher,2016
51540,"Charlottesville city, Virginia",7369,525,27803,26.5,Graduate or professional degree,2015
51540,"Charlottesville city, Virginia",NA,NA,27803,NA,High school graduate or higher,2015
51540,"Charlottesville city, Virginia",NA,NA,27803,NA,Bachelor's degree or higher,2015
51540,"Charlottesville city, Virginia",25.6,2.1,26533,0.1,Graduate or professional degree,2014
51540,"Charlottesville city, Virginia",88.7,1.4,26533,0.33,High school graduate or higher,2014
51540,"Charlottesville city, Virginia",49.3,2.2,26533,0.19,Bachelor's degree or higher,2014
51540,"Charlottesville city, Virginia",27.1,1.8,25614,0.11,Graduate or professional degree,2013
51540,"Charlottesville city, Virginia",88.2,1.5,25614,0.34,High school graduate or higher,2013
51540,"Charlottesville city, Virginia",49.9,1.9,25614,0.19,Bachelor's degree or higher,2013
51540,"Charlottesville city, Virginia",26.9,1.6,24772,0.11,Graduate or professional degree,2012
51540,"Charlottesville city, Virginia",86.3,1.4,24772,0.35,High school graduate or higher,2012
51540,"Charlottesville city, Virginia",48.1,1.8,24772,0.19,Bachelor's degree or higher,2012
