GEOID,county,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
51003010100,Albemarle,Free Union,8.022870436887153,84.3,93.36,64.21,32.62,82.29,63313,7.624999999999998,9.346,6.36857142857143,8.353523809523809,8.090087501137653
51003010201,Albemarle,Charlottesville-Albemarle Airport,7.033381280011362,77.3,96.49,56.97,28.96,82.9,65500,4.708333333333332,8.828,6.5428571428571445,8.066285714285714,8.32552479241504
51003010202,Albemarle,Earlysville,8.608592024449976,80.9,98.8,71.76,40.52,92.46,76116,6.208333333333336,10.738666666666667,9.274285714285712,10.250539682539682,9.366903057476911
51003010301,Albemarle,Berkmar Drive,7.3321049665143105,81.9,97.45,58.24,29.57,69.82,66442,6.625000000000002,9.017333333333335,2.8057142857142834,6.946793650793651,8.424521248749278
51003010302,Albemarle,Polo Grounds Road,9.064901093415761,81.9,96.31,70.72,38.07,92.47,90723,6.625000000000002,10.34,9.277142857142858,9.985714285714284,10.583988994532996
51003010303,Albemarle,Hollymead,7.610777976911304,81.9,97.33,51.35,22.63,91.36,60974,6.625000000000002,8.087333333333333,8.96,8.378222222222222,7.8291117085116895
51003010401,Albemarle,Stony Point-Keswick,6.725650075073621,80.6,90.32,52.28,19.41,76.16,58791,6.08333333333333,7.4673333333333325,4.6171428571428565,6.51726984126984,7.576347050617695
51003010402,Albemarle,Village of Rivanna,8.56728134218317,83.7,96.67,70.4,38.36,91.25,66616,7.375000000000002,10.362,8.928571428571429,9.884190476190476,8.442653550359033
51003010501,Albemarle,Darden-Key West,8.052424547794049,82.8,96.48,69.1,34.02,83.3,65159,6.999999999999998,9.973333333333333,6.657142857142856,8.867936507936506,8.289337135445642
51003010502,Albemarle,Pantops,8.71867884423019,82.8,96.99,75.03,41.04,91.62,71133,6.999999999999998,10.870666666666667,9.034285714285716,10.258539682539682,8.89749685015089
51003010603,Albemarle,Branchland,5.492790697094347,79.7,87.61,51.75,20.9,56.24,48398,5.708333333333334,7.350666666666666,-1.0742857142857138,4.542349206349206,6.227689551600503
51003010604,Albemarle,Woodbrook-Carrsbrook,7.181436541159617,79.7,97.99,69.04,38.18,78.63,55392,5.708333333333334,10.347333333333335,5.322857142857141,8.672507936507937,7.163468353637581
51003010602,Albemarle,Dunlora-Stone Henge,8.562612736649514,80.2,99.01,73.16,39.44,93.98,75956,5.916666666666668,10.774,9.70857142857143,10.418857142857142,9.352314400424731
51003010701,Albemarle,Hydraulic,4.519359931847782,76.7,93.87,44.52,18.68,53.39,40372,4.458333333333335,7.138000000000001,-1.8885714285714283,4.129142857142857,4.970603605067153
51003010702,Albemarle,Commonwealth-Townwood-Berkmar,5.541430604420202,76.7,88.12,37.05,16.88,80.18,47879,4.458333333333335,6.136666666666667,5.765714285714287,6.013015873015873,6.152942606911399
51003010801,Albemarle,Barracks-Hessian Hills,5.890500449471994,82.6,88.99,48.79,25.14,75.8,36289,6.916666666666664,7.5280000000000005,4.514285714285713,6.523428571428571,4.231406110320747
51003010802,Albemarle,Albemarle High School,5.78386658638782,82.6,94.35,45.59,27.08,71.67,35724,6.916666666666664,7.801333333333332,3.3342857142857145,6.312317460317459,4.122615632179335
51003010901,Albemarle,Old Ivy-Darden School (UVA),4.403828321377256,78.6,99.35,86.45,34.84,97.65,12409,5.249999999999998,11.376000000000001,10.757142857142858,11.169714285714287,-3.208229321582516
51003011000,Albemarle,Ivy,10.319457418010636,86.3,97,81.89,41.47,95.85,103750,8.458333333333332,11.357333333333333,10.24285714285714,10.985841269841268,11.514197650857305
51003011101,Albemarle,Crozet-Beaver Creek,7.660780687004518,80.7,95.01,63.07,30.8,96.54,55724,6.125000000000002,9.258666666666667,10.440000000000003,9.652444444444445,7.204897616569108
51003011102,Albemarle,Western Ridge-Westhall,8.357269605881758,80.7,96.7,77.78,37.98,78.44,83036,6.125000000000002,10.830666666666666,5.268571428571428,8.97663492063492,9.970173897010351
51003011103,Albemarle,Old Trail,8.687201154749836,80.7,97.08,71.95,40.14,92.77,80341,6.125000000000002,10.611333333333334,9.362857142857141,10.195174603174603,9.7414288610749
51003011201,Albemarle,"Yancey Mills, Batesville",6.360621994803448,78.5,95.28,57.38,30.01,79.95,47358,5.208333333333334,8.844666666666667,5.700000000000001,7.796444444444445,6.0770882066325616
51003011202,Albemarle,North Garden,9.481591047512808,87.1,94.74,67.92,47.7,92.71,76599,8.791666666666664,10.690666666666663,9.345714285714283,10.242349206349203,9.410757269522554
51003011301,Albemarle,"Monticello, Carters Mountain",6.910134730972618,84.1,94.14,43.02,20.39,84.07,47627,7.541666666666664,7.17,6.8771428571428554,7.072380952380951,6.116356573870236
51003011302,Albemarle,"Oak Hill, Southwood",5.210174073059167,75.5,89.2,59.09,27.85,67.75,42507,3.958333333333333,8.409333333333333,2.2142857142857144,6.34431746031746,5.327871425526708
51003011303,Albemarle,Avon Street Ext.-Mill Creek,7.14649117846319,80,95.49,64.91,29.33,80,58073,5.833333333333334,9.315333333333333,5.7142857142857135,8.114984126984126,7.4911560750721105
51003011400,Albemarle,Southern Albemarle-Scottsville,5.4231198169657375,79,87.31,39.51,17.93,70.22,44646,5.416666666666666,6.316666666666667,2.92,5.184444444444445,5.668248339786101
51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),NA,NA,82.64,39.43,28.97,98.48,4215,NA,6.736,10.994285714285716,8.15542857142857,-10.694174912672912
