year,level,division,subgroup,count_below_10,count_above_10,percent_below_10,percent_above_10
2022 - 2023,DIV,Albemarle County Public Schools,All Students,11174,2409,82.3,17.7
2022 - 2023,DIV,Albemarle County Public Schools,American Indian,10,2,NA,NA
2022 - 2023,DIV,Albemarle County Public Schools,Asian,702,95,88.1,11.9
2022 - 2023,DIV,Albemarle County Public Schools,Black,1175,408,74.2,25.8
2022 - 2023,DIV,Albemarle County Public Schools,Economically Disadvantaged,3060,1340,69.5,30.5
2022 - 2023,DIV,Albemarle County Public Schools,Female,5396,1183,82,18
2022 - 2023,DIV,Albemarle County Public Schools,Hispanic,1579,559,73.9,26.1
2022 - 2023,DIV,Albemarle County Public Schools,Male,5770,1221,82.5,17.5
2022 - 2023,DIV,Albemarle County Public Schools,Multiple Races,759,216,77.8,22.2
2022 - 2023,DIV,Albemarle County Public Schools,Native Hawaiian,7,3,NA,NA
2022 - 2023,DIV,Albemarle County Public Schools,Students with Disabilities,1284,441,74.4,25.6
2022 - 2023,DIV,Albemarle County Public Schools,White,6942,1126,86,14
