GEOID,locality,tract,estimate,moe,pop_3_to_24yr,percent,label,year,county,locality_num,tract_num,tractnames
51540000201,Charlottesville city,Census Tract 2.01,824,239.17148659486983,1009,81.67,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000202,Charlottesville city,Census Tract 2.02,3295,539.7897738935038,3634,90.67,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000202,10th & Page-Venable
51540000302,Charlottesville city,Census Tract 3.02,420,157.82268531488114,546,76.92,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000302,Woolen Mills
51540000401,Charlottesville city,Census Tract 4.01,698,192.1926117206382,863,80.88,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000401,Ridge St.
51540000402,Charlottesville city,Census Tract 4.02,565,159.90934932016953,663,85.22,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000402,Belmont
51540000501,Charlottesville city,Census Tract 5.01,881,233.04720551853868,1010,87.23,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000501,Fifeville-Cherry Avenue
51540000502,Charlottesville city,Census Tract 5.02,960,224.9088704342272,1423,67.46,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000502,Fry's Springs
51540000600,Charlottesville city,Census Tract 6,2286,354.98309818919546,2375,96.25,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000600,JPA-Fontaine
51540000700,Charlottesville city,Census Tract 7,1873,252.42028444639706,2146,87.28,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000700,Barracks-Rugby
51540000800,Charlottesville city,Census Tract 8,631,121.09913294487289,683,92.39,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000800,Greenbrier-Meadows
51540000900,Charlottesville city,Census Tract 9,377,118.57065404222075,388,97.16,3 to 24 year olds enrolled in school,2022,Charlottesville,540,000900,Locust Grove
51540001000,Charlottesville city,Census Tract 10,482,182.0631758483851,661,72.92,3 to 24 year olds enrolled in school,2022,Charlottesville,540,001000,Downtown Area
