year,division,subgroup,level,percent_of_the_student_population,number_suspended_short_term,number_of_short_term_suspendable_incidents,percent_of_short_term_suspensions
2023 - 2024,Charlottesville City Public Schools,American Indian,DIV,0,NA,NA,NA
2023 - 2024,Charlottesville City Public Schools,Asian,DIV,6.2,12,262,4.6
2023 - 2024,Charlottesville City Public Schools,Black,DIV,26.3,153,262,58.4
2023 - 2024,Charlottesville City Public Schools,Hispanic,DIV,13.7,12,262,4.6
2023 - 2024,Charlottesville City Public Schools,Multiple Races,DIV,13.8,48,262,18.3
2023 - 2024,Charlottesville City Public Schools,Native Hawaiian,DIV,0,NA,NA,NA
2023 - 2024,Charlottesville City Public Schools,White,DIV,40.3,37,262,14.1
