GEOID,locality,estimate,moe,total_pop,percent,year,label
51540,"Charlottesville city, Virginia",1594,169.17742166140255,43663,3.65,2013,10 to 14 years
51540,"Charlottesville city, Virginia",3333,338.06064544693754,43663,7.63,2013,15 to 19 years
51540,"Charlottesville city, Virginia",9139,738.3603456307767,43663,20.93,2013,20 to 24 years
51540,"Charlottesville city, Virginia",8507,147.0068025636909,43663,19.48,2013,25 to 34 years
51540,"Charlottesville city, Virginia",4645,322.30110145638656,43663,10.64,2013,35 to 44 years
51540,"Charlottesville city, Virginia",4343,86.08716512930367,43663,9.95,2013,45 to 54 years
51540,"Charlottesville city, Virginia",1637,190.68560512005095,43663,3.75,2013,5 to 9 years
51540,"Charlottesville city, Virginia",2066,191.25375813301028,43663,4.73,2013,55 to 59 years
51540,"Charlottesville city, Virginia",1990,237.61733943464645,43663,4.56,2013,60 to 64 years
51540,"Charlottesville city, Virginia",2183,201.95791640834483,43663,5,2013,65 to 74 years
51540,"Charlottesville city, Virginia",1378,166.77229985821987,43663,3.16,2013,75 to 84 years
51540,"Charlottesville city, Virginia",502,98.47842403288143,43663,1.15,2013,85 years and over
51540,"Charlottesville city, Virginia",2346,79.90619500389191,43663,5.37,2013,Under 5 years
51540,"Charlottesville city, Virginia",1983,260.2152954766495,45863,4.32,2023,10 to 14 years
51540,"Charlottesville city, Virginia",2851,311.41933144877186,45863,6.22,2023,15 to 19 years
51540,"Charlottesville city, Virginia",7480,595.5090259601444,45863,16.31,2023,20 to 24 years
51540,"Charlottesville city, Virginia",7844,214.3315189140412,45863,17.1,2023,25 to 34 years
51540,"Charlottesville city, Virginia",6134,530.7965712021885,45863,13.37,2023,35 to 44 years
51540,"Charlottesville city, Virginia",4461,276.9368158985006,45863,9.73,2023,45 to 54 years
51540,"Charlottesville city, Virginia",2007,216.8155898453799,45863,4.38,2023,5 to 9 years
51540,"Charlottesville city, Virginia",2288,246.86230980042296,45863,4.99,2023,55 to 59 years
51540,"Charlottesville city, Virginia",2329,324.6120761770886,45863,5.08,2023,60 to 64 years
51540,"Charlottesville city, Virginia",3873,413.56136183159083,45863,8.44,2023,65 to 74 years
51540,"Charlottesville city, Virginia",1558,256.9396816375392,45863,3.4,2023,75 to 84 years
51540,"Charlottesville city, Virginia",571,157.15597347857954,45863,1.25,2023,85 years and over
51540,"Charlottesville city, Virginia",2484,250.4156544627352,45863,5.42,2023,Under 5 years
