GEOID,locality,label,estimate,moe,total_households,percent,year
51540,"Charlottesville city, Virginia",Owner occupied,8262,439,19511,42.35,2022
51540,"Charlottesville city, Virginia",Renter occupied,11249,495,19511,57.65,2022
