region_fips,locality,group,median_hhinc,year
"51003,51540",Charlottesville-Albemarle Region,aianalone,29450.219512195123,2022
"51003,51540",Charlottesville-Albemarle Region,asianalone,91280.84713375797,2022
"51003,51540",Charlottesville-Albemarle Region,blackalone,45380.87372708758,2022
"51003,51540",Charlottesville-Albemarle Region,hispanic,80121.49443207127,2022
"51003,51540",Charlottesville-Albemarle Region,multialone,91641.65129682998,2022
"51003,51540",Charlottesville-Albemarle Region,nhpialone,NA,2022
"51003,51540",Charlottesville-Albemarle Region,otheralone,81220.19815668203,2022
"51003,51540",Charlottesville-Albemarle Region,overall,88732.71222622678,2022
"51003,51540",Charlottesville-Albemarle Region,whitealone,96750.72474792146,2022
"51003,51540",Charlottesville-Albemarle Region,whitenhalone,97567.87429301222,2022
