GEOID,locality,estimate,moe,total_pop,percent,sex,label,year
51540,"Charlottesville city, Virginia",918,161,46289,1.98,Female,10 to 14 years,2022
51540,"Charlottesville city, Virginia",1549,177.85949510779568,46289,3.35,Female,15 to 19 years,2022
51540,"Charlottesville city, Virginia",3873,423.3072170421856,46289,8.37,Female,20 to 24 years,2022
51540,"Charlottesville city, Virginia",4261,92.69843580125827,46289,9.21,Female,25 to 34 years,2022
51540,"Charlottesville city, Virginia",3046,368.575636742311,46289,6.58,Female,35 to 44 years,2022
51540,"Charlottesville city, Virginia",2348,193.3416664870767,46289,5.07,Female,45 to 54 years,2022
51540,"Charlottesville city, Virginia",1060,165,46289,2.29,Female,5 to 9 years,2022
51540,"Charlottesville city, Virginia",1383,164,46289,2.99,Female,55 to 59 years,2022
51540,"Charlottesville city, Virginia",1037,216.00231480241132,46289,2.24,Female,60 to 64 years,2022
51540,"Charlottesville city, Virginia",1963,276.03622950620087,46289,4.24,Female,65 to 74 years,2022
51540,"Charlottesville city, Virginia",927,188.0026595556563,46289,2,Female,75 to 84 years,2022
51540,"Charlottesville city, Virginia",391,152,46289,0.84,Female,85 years and over,2022
51540,"Charlottesville city, Virginia",1005,94,46289,2.17,Female,Under 5 years,2022
51540,"Charlottesville city, Virginia",917,183,46289,1.98,Male,10 to 14 years,2022
51540,"Charlottesville city, Virginia",1197,143.42245291445826,46289,2.59,Male,15 to 19 years,2022
51540,"Charlottesville city, Virginia",3916,416.1177717906314,46289,8.46,Male,20 to 24 years,2022
51540,"Charlottesville city, Virginia",4125,116.8289347721702,46289,8.91,Male,25 to 34 years,2022
51540,"Charlottesville city, Virginia",2867,374.4769685841841,46289,6.19,Male,35 to 44 years,2022
51540,"Charlottesville city, Virginia",2200,168.12197952677099,46289,4.75,Male,45 to 54 years,2022
51540,"Charlottesville city, Virginia",1034,129,46289,2.23,Male,5 to 9 years,2022
51540,"Charlottesville city, Virginia",1158,183,46289,2.5,Male,55 to 59 years,2022
51540,"Charlottesville city, Virginia",1138,226.63186007267382,46289,2.46,Male,60 to 64 years,2022
51540,"Charlottesville city, Virginia",1687,244.89181284804113,46289,3.64,Male,65 to 74 years,2022
51540,"Charlottesville city, Virginia",682,175.78680269007683,46289,1.47,Male,75 to 84 years,2022
51540,"Charlottesville city, Virginia",203,85,46289,0.44,Male,85 years and over,2022
51540,"Charlottesville city, Virginia",1404,155,46289,3.03,Male,Under 5 years,2022
