GEOID,locality,label,estimate,moe,year
51540,"Charlottesville city, Virginia",Median Gross Rent,1357,53,2022
51540,"Charlottesville city, Virginia",Median Gross Rent,1250,44,2021
51540,"Charlottesville city, Virginia",Median Gross Rent,1188,44,2020
51540,"Charlottesville city, Virginia",Median Gross Rent,1142,35,2019
51540,"Charlottesville city, Virginia",Median Gross Rent,1118,31,2018
51540,"Charlottesville city, Virginia",Median Gross Rent,1089,29,2017
51540,"Charlottesville city, Virginia",Median Gross Rent,1030,30,2016
51540,"Charlottesville city, Virginia",Median Gross Rent,998,29,2015
51540,"Charlottesville city, Virginia",Median Gross Rent,1015,33,2014
51540,"Charlottesville city, Virginia",Median Gross Rent,993,30,2013
51540,"Charlottesville city, Virginia",Median Gross Rent,983,25,2012
