"","GEOID","locality","estimate","moe","total_pop","percent","year","label"
"1","51540","Charlottesville city, Virginia",43584,NA,46289,94.16,2022,"Not Hispanic or Latino"
"2","51540","Charlottesville city, Virginia",2705,NA,46289,5.84,2022,"Hispanic or Latino"
"3","51540","Charlottesville city, Virginia",43947,NA,46597,94.31,2021,"Not Hispanic or Latino"
"4","51540","Charlottesville city, Virginia",2650,NA,46597,5.69,2021,"Hispanic or Latino"
"5","51540","Charlottesville city, Virginia",44594,NA,47217,94.44,2020,"Not Hispanic or Latino"
"6","51540","Charlottesville city, Virginia",2623,NA,47217,5.56,2020,"Hispanic or Latino"
"7","51540","Charlottesville city, Virginia",44507,NA,47096,94.5,2019,"Not Hispanic or Latino"
"8","51540","Charlottesville city, Virginia",2589,NA,47096,5.5,2019,"Hispanic or Latino"
"9","51540","Charlottesville city, Virginia",44511,NA,47042,94.62,2018,"Not Hispanic or Latino"
"10","51540","Charlottesville city, Virginia",2531,NA,47042,5.38,2018,"Hispanic or Latino"
"11","51540","Charlottesville city, Virginia",44056,NA,46487,94.77,2017,"Not Hispanic or Latino"
"12","51540","Charlottesville city, Virginia",2431,NA,46487,5.23,2017,"Hispanic or Latino"
"13","51540","Charlottesville city, Virginia",43243,NA,45538,94.96,2016,"Not Hispanic or Latino"
"14","51540","Charlottesville city, Virginia",2295,NA,45538,5.04,2016,"Hispanic or Latino"
"15","51540","Charlottesville city, Virginia",42847,NA,45084,95.04,2015,"Not Hispanic or Latino"
"16","51540","Charlottesville city, Virginia",2237,NA,45084,4.96,2015,"Hispanic or Latino"
"17","51540","Charlottesville city, Virginia",42312,NA,44505,95.07,2014,"Not Hispanic or Latino"
"18","51540","Charlottesville city, Virginia",2193,NA,44505,4.93,2014,"Hispanic or Latino"
"19","51540","Charlottesville city, Virginia",41486,NA,43663,95.01,2013,"Not Hispanic or Latino"
"20","51540","Charlottesville city, Virginia",2177,NA,43663,4.99,2013,"Hispanic or Latino"
"21","51540","Charlottesville city, Virginia",41089,NA,43223,95.06,2012,"Not Hispanic or Latino"
"22","51540","Charlottesville city, Virginia",2134,NA,43223,4.94,2012,"Hispanic or Latino"
