GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51540000201,Census Tract 2.01,Charlottesville city,White,1156,320,less_than_hs,86,7.44,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White,1156,320,hs_only,286,24.74,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White,1156,320,bachelors_up,784,67.82,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1023,241,less_than_hs,35,3.42,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1023,241,hs_only,204,19.94,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,White_non_hisp,1023,241,bachelors_up,784,76.64,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,235,107,less_than_hs,54,22.98,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,235,107,hs_only,158,67.23,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Black,235,107,bachelors_up,23,9.79,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,less_than_hs,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,hs_only,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Amer_Indian,0,13,bachelors_up,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,70,56,less_than_hs,0,0,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,70,56,hs_only,35,50,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Asian,70,56,bachelors_up,35,50,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,less_than_hs,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,hs_only,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,NHPI,0,13,bachelors_up,0,NA,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,75,100,less_than_hs,0,0,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,75,100,hs_only,0,0,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Other,75,100,bachelors_up,75,100,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,116,125,less_than_hs,0,0,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,116,125,hs_only,73,62.93,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Multi,116,125,bachelors_up,43,37.07,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,185,230,less_than_hs,51,27.57,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,185,230,hs_only,129,69.73,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000201,Census Tract 2.01,Charlottesville city,Hispanic,185,230,bachelors_up,5,2.7,2023,Charlottesville,540,000201,Rose Hill-Harris-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,669,263,less_than_hs,65,9.72,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,669,263,hs_only,111,16.59,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White,669,263,bachelors_up,493,73.69,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,669,263,less_than_hs,65,9.72,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,669,263,hs_only,111,16.59,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,White_non_hisp,669,263,bachelors_up,493,73.69,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,700,230,less_than_hs,90,12.86,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,700,230,hs_only,469,67,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Black,700,230,bachelors_up,141,20.14,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,13,less_than_hs,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,13,hs_only,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Amer_Indian,0,13,bachelors_up,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,105,74,less_than_hs,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,105,74,hs_only,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Asian,105,74,bachelors_up,105,100,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,13,less_than_hs,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,13,hs_only,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,NHPI,0,13,bachelors_up,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,13,less_than_hs,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,13,hs_only,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Other,0,13,bachelors_up,0,NA,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,6,9,less_than_hs,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,6,9,hs_only,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Multi,6,9,bachelors_up,6,100,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,6,9,less_than_hs,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,6,9,hs_only,0,0,2023,Charlottesville,540,000202,10th & Page-Venable
51540000202,Census Tract 2.02,Charlottesville city,Hispanic,6,9,bachelors_up,6,100,2023,Charlottesville,540,000202,10th & Page-Venable
51540000302,Census Tract 3.02,Charlottesville city,White,2111,351,less_than_hs,90,4.26,2023,Charlottesville,540,000302,Woolen Mills
