GEOID,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year
51540,"Charlottesville city, Virginia",White,20881,241,less_than_hs,905,4.33,2023
51540,"Charlottesville city, Virginia",White,20881,241,hs_only,5247,25.13,2023
51540,"Charlottesville city, Virginia",White,20881,241,bachelors_up,14729,70.54,2023
51540,"Charlottesville city, Virginia",White_non_hisp,20071,148,less_than_hs,777,3.87,2023
51540,"Charlottesville city, Virginia",White_non_hisp,20071,148,hs_only,4965,24.74,2023
51540,"Charlottesville city, Virginia",White_non_hisp,20071,148,bachelors_up,14329,71.39,2023
51540,"Charlottesville city, Virginia",Black,4950,196,less_than_hs,916,18.51,2023
51540,"Charlottesville city, Virginia",Black,4950,196,hs_only,3018,60.97,2023
51540,"Charlottesville city, Virginia",Black,4950,196,bachelors_up,1016,20.53,2023
51540,"Charlottesville city, Virginia",Amer_Indian,43,38,less_than_hs,11,25.58,2023
51540,"Charlottesville city, Virginia",Amer_Indian,43,38,hs_only,10,23.26,2023
51540,"Charlottesville city, Virginia",Amer_Indian,43,38,bachelors_up,22,51.16,2023
51540,"Charlottesville city, Virginia",Asian,1333,147,less_than_hs,268,20.11,2023
51540,"Charlottesville city, Virginia",Asian,1333,147,hs_only,233,17.48,2023
51540,"Charlottesville city, Virginia",Asian,1333,147,bachelors_up,832,62.42,2023
51540,"Charlottesville city, Virginia",NHPI,0,28,less_than_hs,0,NA,2023
51540,"Charlottesville city, Virginia",NHPI,0,28,hs_only,0,NA,2023
51540,"Charlottesville city, Virginia",NHPI,0,28,bachelors_up,0,NA,2023
51540,"Charlottesville city, Virginia",Other,372,196,less_than_hs,0,0,2023
51540,"Charlottesville city, Virginia",Other,372,196,hs_only,105,28.23,2023
51540,"Charlottesville city, Virginia",Other,372,196,bachelors_up,267,71.77,2023
51540,"Charlottesville city, Virginia",Multi,1479,348,less_than_hs,39,2.64,2023
51540,"Charlottesville city, Virginia",Multi,1479,348,hs_only,711,48.07,2023
51540,"Charlottesville city, Virginia",Multi,1479,348,bachelors_up,729,49.29,2023
51540,"Charlottesville city, Virginia",Hispanic,1484,77,less_than_hs,128,8.63,2023
51540,"Charlottesville city, Virginia",Hispanic,1484,77,hs_only,567,38.21,2023
51540,"Charlottesville city, Virginia",Hispanic,1484,77,bachelors_up,789,53.17,2023
