region_fips,locality,estimate,moe,total_foreign_born,percent,year,label
003;540,Charlottesville-Albemarle Region,228,126.17844506887855,16410,1.39,2023,Eastern Africa
003;540,Charlottesville-Albemarle Region,2335,332.46954747766,16410,14.23,2023,Eastern Asia
003;540,Charlottesville-Albemarle Region,822,207.76188293332345,16410,5.01,2023,Eastern Europe
003;540,Charlottesville-Albemarle Region,252,138.2316895650198,16410,1.54,2023,"Latin America, Caribbean"
003;540,Charlottesville-Albemarle Region,3814,612.8295032062343,16410,23.24,2023,"Latin America, Central America"
003;540,Charlottesville-Albemarle Region,936,284.9034924320866,16410,5.7,2023,"Latin America, South America"
003;540,Charlottesville-Albemarle Region,262,139.71399357258383,16410,1.6,2023,Middle Africa
003;540,Charlottesville-Albemarle Region,100,66.64082832618455,16410,0.61,2023,Northern Africa
003;540,Charlottesville-Albemarle Region,599,200.6888138387389,16410,3.65,2023,Northern America
003;540,Charlottesville-Albemarle Region,741,190.90573590125572,16410,4.52,2023,Northern Europe
003;540,Charlottesville-Albemarle Region,98,103.84603988597736,16410,0.6,2023,Oceania
003;540,Charlottesville-Albemarle Region,2921,517.4292222130482,16410,17.8,2023,South Central Asia
003;540,Charlottesville-Albemarle Region,902,287.9027613622349,16410,5.5,2023,South Eastern Asia
003;540,Charlottesville-Albemarle Region,11,35.84689665786984,16410,0.07,2023,Southern Africa
003;540,Charlottesville-Albemarle Region,236,117.2006825918689,16410,1.44,2023,Southern Europe
003;540,Charlottesville-Albemarle Region,580,300.5328601001894,16410,3.53,2023,Western Africa
003;540,Charlottesville-Albemarle Region,864,376.1754909613331,16410,5.27,2023,Western Asia
003;540,Charlottesville-Albemarle Region,709,220.56518310921152,16410,4.32,2023,Western Europe
