GEOID,locality,ahdi,lifeexp_est,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
51003,Albemarle,7.127870079938077,81.9,93.83,60.13,30.06,85.88,49170,6.625000000000002,8.934666666666667,7.394285714285713,8.421206349206349,6.33740389060788
51540,Charlottesville,5.958658368673231,78.7,91.98,58.94,30.93,86.31,36222,5.291666666666668,8.79,7.517142857142858,8.365714285714285,4.218594153638743
