GEOID,locality,estimate,moe,total_pop,percent,year,label
51003,"Albemarle County, Virginia",6449,448.1305613322974,100636,6.41,2013,10 to 14 years
51003,"Albemarle County, Virginia",9079,347.4104201085512,100636,9.02,2013,15 to 19 years
51003,"Albemarle County, Virginia",6629,683.5195681178411,100636,6.59,2013,20 to 24 years
51003,"Albemarle County, Virginia",12740,134.7219358530748,100636,12.66,2013,25 to 34 years
51003,"Albemarle County, Virginia",12168,576.7642499323272,100636,12.09,2013,35 to 44 years
51003,"Albemarle County, Virginia",14048,169.81460479004744,100636,13.96,2013,45 to 54 years
51003,"Albemarle County, Virginia",5959,444.7842173458946,100636,5.92,2013,5 to 9 years
51003,"Albemarle County, Virginia",7424,350.13711599886125,100636,7.38,2013,55 to 59 years
51003,"Albemarle County, Virginia",5512,419.4198373944656,100636,5.48,2013,60 to 64 years
51003,"Albemarle County, Virginia",7824,434.9149342112777,100636,7.77,2013,65 to 74 years
51003,"Albemarle County, Virginia",4915,381.7368203356862,100636,4.88,2013,75 to 84 years
51003,"Albemarle County, Virginia",2248,245.20399670478457,100636,2.23,2013,85 years and over
51003,"Albemarle County, Virginia",5641,42.44997055358225,100636,5.61,2013,Under 5 years
51003,"Albemarle County, Virginia",6574,472.61929710920606,113683,5.78,2023,10 to 14 years
51003,"Albemarle County, Virginia",10221,357.2212199744019,113683,8.99,2023,15 to 19 years
51003,"Albemarle County, Virginia",7035,542.8351499304371,113683,6.19,2023,20 to 24 years
51003,"Albemarle County, Virginia",14187,138.52436608770313,113683,12.48,2023,25 to 34 years
51003,"Albemarle County, Virginia",13972,717.9226977885572,113683,12.29,2023,35 to 44 years
51003,"Albemarle County, Virginia",12901,190.8638258025863,113683,11.35,2023,45 to 54 years
51003,"Albemarle County, Virginia",6181,471.9597440460362,113683,5.44,2023,5 to 9 years
51003,"Albemarle County, Virginia",7205,502.0537819795804,113683,6.34,2023,55 to 59 years
51003,"Albemarle County, Virginia",7069,591.7541719329066,113683,6.22,2023,60 to 64 years
51003,"Albemarle County, Virginia",12969,643.4718331053815,113683,11.41,2023,65 to 74 years
51003,"Albemarle County, Virginia",6652,488.091180006359,113683,5.85,2023,75 to 84 years
51003,"Albemarle County, Virginia",2995,334.62964602676794,113683,2.63,2023,85 years and over
51003,"Albemarle County, Virginia",5722,195.1665955024066,113683,5.03,2023,Under 5 years
