GEOID_TRACT_10,ahdi_2019,lifeexp_est_2019,hs_grad_per_2019,bac_deg_per_2019,grad_deg_per_2019,enrollment_per_2019,med_earnings_2019,GEOID_TRACT_20,tractnames_2020,fullname_2020,tractnames_2019,fullname_2019,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings
51003010100,7.2,84.3,92.6,47.6,20.9,84.9,45449,51003010100,Free Union,Census Tract 101,Free Union,Census Tract 101,Free Union,8,84.3,93.36,64.21,32.62,82.29,63313
51003010201,6.3,77.3,94.8,50.4,23.9,89.9,42083,51003010201,Charlottesville-Albemarle Airport,Census Tract 102.01,Charlottesville-Albemarle Airport,Census Tract 102.01,Charlottesville-Albemarle Airport,7,77.3,96.49,56.97,28.96,82.9,65500
51003010202,8.2,80.9,95.9,69.5,42.4,92,58380,51003010202,Earlysville,Census Tract 102.02,Earlysville,Census Tract 102.02,Earlysville,8.6,80.9,98.8,71.76,40.52,92.46,76116
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010301,Berkmar Drive,Census Tract 103.01,Hollymead,Census Tract 103,Berkmar Drive,7.3,81.9,97.45,58.24,29.57,69.82,66442
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010302,Polo Grounds Road,Census Tract 103.02,Hollymead,Census Tract 103,Polo Grounds Road,9.1,81.9,96.31,70.72,38.07,92.47,90723
51003010300,7.1,81.9,91.8,53.2,24.4,83.1,48022,51003010303,Hollymead,Census Tract 103.03,Hollymead,Census Tract 103,Hollymead,7.6,81.9,97.33,51.35,22.63,91.36,60974
51003010401,5.8,80.6,90.8,45.1,19.6,65.1,41712,51003010401,Stony Point-Keswick,Census Tract 104.01,Stony Point and Keswick,Census Tract 104.01,Stony Point-Keswick,6.7,80.6,90.32,52.28,19.41,76.16,58791
51003010402,7.8,83.7,92.2,61.7,28.4,87.3,50270,51003010402,Village of Rivanna,Census Tract 104.02,Village of Rivanna,Census Tract 104.02,Village of Rivanna,8.6,83.7,96.67,70.4,38.36,91.25,66616
51003010500,7.7,82.8,93.3,63.1,28.6,86.6,50673,51003010501,Darden-Key West,Census Tract 105.01,Pantops,Census Tract 105,Darden-Key West,8.1,82.8,96.48,69.1,34.02,83.3,65159
51003010500,7.7,82.8,93.3,63.1,28.6,86.6,50673,51003010502,Pantops,Census Tract 105.02,Pantops,Census Tract 105,Pantops,8.7,82.8,96.99,75.03,41.04,91.62,71133
51003010601,5.7,79.7,90.3,51.8,29.5,64.9,38500,51003010603,Branchland,Census Tract 106.03,Branchland to Carrsbrook,Census Tract 106.01,Branchland,5.5,79.7,87.61,51.75,20.9,56.24,48398
51003010601,5.7,79.7,90.3,51.8,29.5,64.9,38500,51003010604,Woodbrook-Carrsbrook,Census Tract 106.04,Branchland to Carrsbrook,Census Tract 106.01,Woodbrook-Carrsbrook,7.2,79.7,97.99,69.04,38.18,78.63,55392
51003010602,7.1,80.2,96.8,65.8,30.3,83.6,45683,51003010602,Dunlora-Stone Henge,Census Tract 106.02,Pen Park-Dunlora,Census Tract 106.02,Dunlora-Stone Henge,8.6,80.2,99.01,73.16,39.44,93.98,75956
51003010700,5,76.7,88.5,40.8,19.5,70.8,36280,51003010701,Hydraulic,Census Tract 107.01,Commonwealth-Hydraulic,Census Tract 107,Hydraulic,4.5,76.7,93.87,44.52,18.68,53.39,40372
51003010700,5,76.7,88.5,40.8,19.5,70.8,36280,51003010702,Commonwealth-Townwood-Berkmar,Census Tract 107.02,Commonwealth-Hydraulic,Census Tract 107,Commonwealth-Townwood-Berkmar,5.5,76.7,88.12,37.05,16.88,80.18,47879
51003010800,6.3,82.6,91.7,55.9,21.9,75,37215,51003010801,Barracks-Hessian Hills,Census Tract 108.01,Albemarle High School,Census Tract 108,Barracks-Hessian Hills,5.9,82.6,88.99,48.79,25.14,75.8,36289
51003010800,6.3,82.6,91.7,55.9,21.9,75,37215,51003010802,Albemarle High School,Census Tract 108.02,Albemarle High School,Census Tract 108,Albemarle High School,5.8,82.6,94.35,45.59,27.08,71.67,35724
51003010901,4.8,78.6,99.5,91.2,35.8,95.7,12500,51003010901,Old Ivy-Darden School (UVA),Census Tract 109.01,"UVA campus - Darden School, JPJ Arena",Census Tract 109.01,Old Ivy-Darden School (UVA),4.4,78.6,99.35,86.45,34.84,97.65,12409
51003010902,NA,NA,87.5,62.1,40.6,96.8,3752,51003010904,Carr's Hill-McCormick Road (UVA),Census Tract 109.04,"UVA campus - Hereford College, University Heights",Census Tract 109.02,Carr's Hill-McCormick Road (UVA),NA,NA,82.64,39.43,28.97,98.48,4215
51003010903,NA,NA,73.9,33.3,28,100,2499,51003010904,Carr's Hill-McCormick Road (UVA),Census Tract 109.04,"UVA campus - Rotunda, Carr's Hill",Census Tract 109.03,Carr's Hill-McCormick Road (UVA),NA,NA,82.64,39.43,28.97,98.48,4215
51003011000,9.1,86.3,96.7,78.6,48.3,90.3,57656,51003011000,Ivy,Census Tract 110,Ivy,Census Tract 110,Ivy,10.3,86.3,97,81.89,41.47,95.85,103750
51003011100,8,80.7,95.8,64.1,31.7,94.4,56333,51003011101,Crozet-Beaver Creek,Census Tract 111.01,Crozet,Census Tract 111,Crozet-Beaver Creek,7.7,80.7,95.01,63.07,30.8,96.54,55724
51003011100,8,80.7,95.8,64.1,31.7,94.4,56333,51003011102,Western Ridge-Westhall,Census Tract 111.02,Crozet,Census Tract 111,Western Ridge-Westhall,8.4,80.7,96.7,77.78,37.98,78.44,83036
51003011100,8,80.7,95.8,64.1,31.7,94.4,56333,51003011103,Old Trail,Census Tract 111.03,Crozet,Census Tract 111,Old Trail,8.7,80.7,97.08,71.95,40.14,92.77,80341
51003011201,6.1,78.5,91.9,51,21.5,82.6,39931,51003011201,"Yancey Mills, Batesville",Census Tract 112.01,"Yancey Mills, Batesville",Census Tract 112.01,"Yancey Mills, Batesville",6.4,78.5,95.28,57.38,30.01,79.95,47358
51003011202,9.3,87.1,94.7,68.5,37,92.8,64965,51003011202,North Garden,Census Tract 112.02,North Garden,Census Tract 112.02,North Garden,9.5,87.1,94.74,67.92,47.7,92.71,76599
51003011301,5.8,84.1,86.5,36.9,13.3,71.2,35245,51003011301,"Monticello, Carters Mountain",Census Tract 113.01,"Monticello, Carters Mountain",Census Tract 113.01,"Monticello, Carters Mountain",6.9,84.1,94.14,43.02,20.39,84.07,47627
51003011302,4.7,75.5,86.9,43.7,22.3,75.1,30723,51003011302,"Oak Hill, Southwood",Census Tract 113.02,"Oak Hill, Old Lynchburg Rd",Census Tract 113.02,"Oak Hill, Southwood",5.2,75.5,89.2,59.09,27.85,67.75,42507
