GEOID,locality,ahdi,lifeexp_est,hs_grad_per,grad_deg_per,bac_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
003;540,Charlottesville & Albemarle Combined,6.971110034553445,80.98,93.96,31.46,60.59,85.73,48040.568318909,6.241666666666669,9.067333333333334,7.351428571428572,8.49536507936508,6.176298357628588
51003,Albemarle,7.262315255211114,81.9,94.45,30.75,60.6,85.32,51922,6.625000000000002,9.053333333333335,7.234285714285712,8.446984126984127,6.714961638649212
51540,Charlottesville,6.165946566927105,78.7,92.64,33.39,60.55,86.6,38285,5.291666666666668,9.105333333333332,7.599999999999998,8.603555555555554,4.602617478559095
