region_fips,locality,race,edu_level,estimate,group_total,group_total_moe,percent,year
003;540,Charlottesville-Albemarle Region,Amer_Indian,bachelors_up,42,112,60.440052945046304,37.5,2023
003;540,Charlottesville-Albemarle Region,Amer_Indian,hs_only,43,112,60.440052945046304,38.39,2023
003;540,Charlottesville-Albemarle Region,Amer_Indian,less_than_hs,27,112,60.440052945046304,24.11,2023
003;540,Charlottesville-Albemarle Region,Asian,bachelors_up,3660,5199,250.63519305955418,70.4,2023
003;540,Charlottesville-Albemarle Region,Asian,hs_only,951,5199,250.63519305955418,18.29,2023
003;540,Charlottesville-Albemarle Region,Asian,less_than_hs,588,5199,250.63519305955418,11.31,2023
003;540,Charlottesville-Albemarle Region,Black,bachelors_up,3074,11653,288.7213189218974,26.38,2023
003;540,Charlottesville-Albemarle Region,Black,hs_only,7003,11653,288.7213189218974,60.1,2023
003;540,Charlottesville-Albemarle Region,Black,less_than_hs,1576,11653,288.7213189218974,13.52,2023
003;540,Charlottesville-Albemarle Region,Hispanic,bachelors_up,2418,6003,NA,40.28,2023
003;540,Charlottesville-Albemarle Region,Hispanic,hs_only,2537,6003,NA,42.26,2023
003;540,Charlottesville-Albemarle Region,Hispanic,less_than_hs,1048,6003,NA,17.46,2023
003;540,Charlottesville-Albemarle Region,Multi,bachelors_up,2610,4923,639.0618123468183,53.02,2023
003;540,Charlottesville-Albemarle Region,Multi,hs_only,1941,4923,639.0618123468183,39.43,2023
003;540,Charlottesville-Albemarle Region,Multi,less_than_hs,372,4923,639.0618123468183,7.56,2023
003;540,Charlottesville-Albemarle Region,NHPI,bachelors_up,34,34,56.43580423808985,100,2023
003;540,Charlottesville-Albemarle Region,NHPI,hs_only,0,34,56.43580423808985,0,2023
003;540,Charlottesville-Albemarle Region,NHPI,less_than_hs,0,34,56.43580423808985,0,2023
003;540,Charlottesville-Albemarle Region,Other,bachelors_up,620,2030,440.95464619391413,30.54,2023
003;540,Charlottesville-Albemarle Region,Other,hs_only,995,2030,440.95464619391413,49.01,2023
003;540,Charlottesville-Albemarle Region,Other,less_than_hs,415,2030,440.95464619391413,20.44,2023
003;540,Charlottesville-Albemarle Region,White,bachelors_up,54793,83057,440.72894164100455,65.97,2023
003;540,Charlottesville-Albemarle Region,White,hs_only,24776,83057,440.72894164100455,29.83,2023
003;540,Charlottesville-Albemarle Region,White,less_than_hs,3488,83057,440.72894164100455,4.2,2023
003;540,Charlottesville-Albemarle Region,White_non_hisp,bachelors_up,53764,80846,252.03174403237384,66.5,2023
003;540,Charlottesville-Albemarle Region,White_non_hisp,hs_only,23959,80846,252.03174403237384,29.64,2023
003;540,Charlottesville-Albemarle Region,White_non_hisp,less_than_hs,3123,80846,252.03174403237384,3.86,2023
