GEOID,locality,estimate,moe,pop_25_over,percent,label,year
51003,"Albemarle County, Virginia",23126,918,76936,30.06,Graduate or professional degree,2022
51003,"Albemarle County, Virginia",72186,538,76936,93.83,High school graduate or higher,2022
51003,"Albemarle County, Virginia",46262,1172,76936,60.13,Bachelor's degree or higher,2022
