year,division,subgroup,level,percent_of_the_student_population,number_suspended_short_term,number_of_short_term_suspendable_incidents,percent_of_short_term_suspensions
2022 - 2023,Charlottesville City Public Schools,American Indian,DIV,0.1,NA,NA,NA
2022 - 2023,Charlottesville City Public Schools,Asian,DIV,5.3,3,268,1.1
2022 - 2023,Charlottesville City Public Schools,Black,DIV,28,181,268,67.5
2022 - 2023,Charlottesville City Public Schools,Hispanic,DIV,13.1,17,268,6.3
2022 - 2023,Charlottesville City Public Schools,Multiple Races,DIV,13.6,32,268,11.9
2022 - 2023,Charlottesville City Public Schools,Native Hawaiian,DIV,0,NA,NA,NA
2022 - 2023,Charlottesville City Public Schools,White,DIV,40,35,268,13.1
