GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51003010201,Census Tract 102.01,Albemarle County,Multi,281,141,less_than_hs,6,2.14,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Census Tract 102.01,Albemarle County,Multi,281,141,hs_only,53,18.86,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Census Tract 102.01,Albemarle County,Multi,281,141,bachelors_up,222,79,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Census Tract 102.01,Albemarle County,Hispanic,242,141,less_than_hs,0,0,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Census Tract 102.01,Albemarle County,Hispanic,242,141,hs_only,95,39.26,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010201,Census Tract 102.01,Albemarle County,Hispanic,242,141,bachelors_up,147,60.74,2022,Albemarle,003,010201,Charlottesville-Albemarle Airport
51003010202,Census Tract 102.02,Albemarle County,White,2067,235,less_than_hs,36,1.74,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,White,2067,235,hs_only,501,24.24,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,White,2067,235,bachelors_up,1530,74.02,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,White_non_hisp,2052,235,less_than_hs,36,1.75,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,White_non_hisp,2052,235,hs_only,501,24.42,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,White_non_hisp,2052,235,bachelors_up,1515,73.83,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Black,37,45,less_than_hs,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Black,37,45,hs_only,26,70.27,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Black,37,45,bachelors_up,11,29.73,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Amer_Indian,0,13,less_than_hs,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Amer_Indian,0,13,hs_only,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Amer_Indian,0,13,bachelors_up,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Asian,57,47,less_than_hs,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Asian,57,47,hs_only,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Asian,57,47,bachelors_up,57,100,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,NHPI,0,13,less_than_hs,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,NHPI,0,13,hs_only,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,NHPI,0,13,bachelors_up,0,NA,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Other,14,24,less_than_hs,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Other,14,24,hs_only,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Other,14,24,bachelors_up,14,100,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Multi,88,106,less_than_hs,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Multi,88,106,hs_only,24,27.27,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Multi,88,106,bachelors_up,64,72.73,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Hispanic,91,108,less_than_hs,0,0,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Hispanic,91,108,hs_only,24,26.37,2022,Albemarle,003,010202,Earlysville
51003010202,Census Tract 102.02,Albemarle County,Hispanic,91,108,bachelors_up,67,73.63,2022,Albemarle,003,010202,Earlysville
51003010301,Census Tract 103.01,Albemarle County,White,1072,367,less_than_hs,68,6.34,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,White,1072,367,hs_only,600,55.97,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,White,1072,367,bachelors_up,404,37.69,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,White_non_hisp,1072,367,less_than_hs,68,6.34,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,White_non_hisp,1072,367,hs_only,600,55.97,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,White_non_hisp,1072,367,bachelors_up,404,37.69,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Black,104,81,less_than_hs,0,0,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Black,104,81,hs_only,20,19.23,2022,Albemarle,003,010301,Berkmar Drive
