locality,region_fips,estimate,moe,total_units,percent,level,rent_burden,year
Combined Region,003;540,5857,636.1776481455474,25676,22.81,Burdened,30% to 49% household income,2022
Combined Region,003;540,11545,828.1606124418138,25676,44.96,Not burdened,Less than 30% household income,2022
Combined Region,003;540,6458,576.7122332671642,25676,25.15,Severely Burdened,Over 50% household income,2022
