GEOID,locality,estimate,moe,pop_3_to_24yr,percent,label,year
51,Virginia,1841830,6732.937991694264,2382433,77.31,3 to 24 year olds enrolled in school,2018
51,Virginia,1840295,7693.504143106703,2376959,77.42,3 to 24 year olds enrolled in school,2019
51,Virginia,1826471,8345.39238142821,2375980,76.87,3 to 24 year olds enrolled in school,2020
51,Virginia,1844510,7457.335516121023,2402262,76.78,3 to 24 year olds enrolled in school,2021
51,Virginia,1839147,8754.879896377792,2412924,76.22,3 to 24 year olds enrolled in school,2022
51,Virginia,1836458,7620.505495044275,2403874,76.4,3 to 24 year olds enrolled in school,2023
