type,centers,seats,location
Child Care Centers,27,2073,Albemarle
Preschools,24,339,Albemarle
Family Child Care Homes,11,108,Albemarle
School Age Only Programs,23,867,Albemarle
Total,85,3387,Albemarle
Child Care Centers,32,2757,Charlottesville
Preschools,28,597,Charlottesville
Family Child Care Homes,16,136,Charlottesville
School Age Only Programs,24,2827,Charlottesville
Total,100,6317,Charlottesville
