live,work,year,workers,percent_all,percent_work,percent_live
albrural,albrural,2022,1984,0.019446976602856273,0.2712235133287765,0.10378197415912539
albrural,alburban,2022,5708,0.055949265347330454,0.13637884073206863,0.29858241355861276
albrural,cville,2022,5175,0.050724850766018764,0.1516661293631488,0.27070146989590416
albrural,outside,2022,6250,0.06126189706040913,0.3336714537397897,0.3269341423863577
alburban,albrural,2022,831,0.008145381833151999,0.11360218728639782,0.036028614784305225
alburban,alburban,2022,8299,0.08134599739269366,0.1982845128303149,0.3598092347712985
alburban,cville,2022,6476,0.06347712725811352,0.18979514082236745,0.28077173206156514
alburban,outside,2022,7459,0.07311239842777467,0.39821685975121457,0.3233904183828311
cville,albrural,2022,570,0.005587085011909312,0.07792207792207792,0.03419111031131906
cville,alburban,2022,4976,0.048774271963615334,0.11888947292970803,0.2984823945774099
cville,cville,2022,6103,0.059821017241548306,0.17886345652237626,0.3660848179473337
cville,outside,2022,5022,0.049225159525979945,0.2681116865089958,0.30124167716393735
outside,albrural,2022,3930,0.03852148087158526,0.5372522214627478,0.0910396590066716
outside,alburban,2022,22871,0.22417933562697875,0.5464471735079084,0.5298137509266123
outside,cville,2022,16367,0.1604277550700346,0.4796752732921075,0.3791465900667161
albrural,albrural,2012,1697,0.018707764218231525,0.3106351821343584,0.088945961528382
albrural,alburban,2012,6559,0.07230655598549239,0.1731474881866899,0.3437811206038052
albrural,cville,2012,5481,0.060422660978271654,0.17084878900283657,0.28727920750563446
albrural,outside,2012,5342,0.058890322011663415,0.34947010336255396,0.2799937103621783
alburban,albrural,2012,594,0.0065482686774481595,0.10873146622734761,0.032087294727744166
alburban,alburban,2012,7397,0.08154468587051185,0.195269396267258,0.39957865168539325
alburban,cville,2012,6133,0.06761032289358512,0.1911723450017144,0.33129861711322384
alburban,outside,2012,4388,0.04837340565091334,0.2870600549522439,0.23703543647363873
cville,albrural,2012,432,0.0047623772199622974,0.07907742998352553,0.024953789279112754
cville,alburban,2012,5165,0.056939070234039976,0.13634803727462316,0.29834796672828096
cville,cville,2012,6159,0.06789694744849026,0.1919827935538169,0.3557647874306839
cville,outside,2012,5556,0.06124946257895955,0.36346984168520213,0.32093345656192235
outside,albrural,2012,2740,0.030205818478464576,0.5015559216547685,0.07651921358355675
outside,alburban,2012,18760,0.20681064038539979,0.49523507827142893,0.52390527256479
outside,cville,2012,14308,0.1577316973685661,0.44599607244163214,0.39957551385165324
albrural,albrural,2002,1006,0.014605322376921848,0.20551583248212463,0.09408023940895913
albrural,alburban,2002,4136,0.06004732937470056,0.1306050271567513,0.3867950995978678
albrural,cville,2002,2554,0.037079516253139565,0.11441627094346385,0.23884784438417656
albrural,outside,2002,2997,0.043511084655700576,0.29987992795677404,0.28027681660899656
alburban,albrural,2002,596,0.008652855006605786,0.12175689479060266,0.04127995567253082
alburban,alburban,2002,6523,0.09470230404041871,0.20598080080838702,0.4517938772683197
alburban,cville,2002,3927,0.0570130228371492,0.17592509631753428,0.27199058041279955
alburban,outside,2002,3392,0.04924577882954166,0.33940364218531116,0.23493558664634992
cville,albrural,2002,658,0.009552984218702362,0.13442288049029621,0.043668701884788955
cville,alburban,2002,5219,0.07577055416019396,0.1648035872173803,0.3463631537032121
cville,cville,2002,5586,0.08109873836728175,0.2502463936923215,0.3707194053623573
cville,outside,2002,3605,0.05233815821948635,0.36071642985791474,0.2392487390496416
outside,albrural,2002,2635,0.03825549151410444,0.5383043922369765,0.09187587168758717
outside,alburban,2002,15790,0.22924258482266002,0.4986105848174814,0.550557880055788
outside,cville,2002,10255,0.14888427532339318,0.4594122390466804,0.3575662482566248
