GEOID,NAME,variable,estimate,moe
51003,"Albemarle County, Virginia",parentswork,3497,391
51003,"Albemarle County, Virginia",singledadworks,337,202
51003,"Albemarle County, Virginia",singlemomworks,765,194
51540,"Charlottesville city, Virginia",parentswork,999,225
51540,"Charlottesville city, Virginia",singledadworks,152,120
51540,"Charlottesville city, Virginia",singlemomworks,560,174
