GEOID,YEAR,coef,_se
5110701,2012,0,0
5110701,2013,898,421.6127256249455
5110701,2014,220,129.39847088210007
5110701,2015,2330,725.7495894076662
5110701,2016,985,347.6636898895775
5110701,2017,931,360.6662840534793
5110701,2018,441.99999999999994,312.54102089588946
5110701,2019,2559,757.2795095583402
5110701,2021,976,534.7010823399643
5110701,2022,1030,452.3439326894627
5110701,2023,410,207.68692530102388
5110702,2012,0,0
5110702,2013,253,179.01107205891788
5110702,2014,724,268.56933879829853
5110702,2015,188,133.4165664300185
5110702,2016,0,0
5110702,2017,95,95.00000000259799
5110702,2018,535,355.38263811394893
5110702,2019,0,0
5110702,2021,95,95.00000000259979
5110702,2022,361,185.3938825629473
5110702,2023,366,324.13880883120515
5110703,2012,1832,709.2649571247867
5110703,2013,378,241.62347695145547
5110703,2014,116,115.99999999686086
5110703,2015,0,0
5110703,2016,165,164.9999999992697
5110703,2017,355,218.23132567011695
5110703,2018,798,325.18825401834414
5110703,2019,1113,577.0095125026168
5110703,2021,1017,492.9970657712205
5110703,2022,979,418.9297270982715
5110703,2023,491,204.3202755359092
5110901,2022,217,216.9999999993361
5110901,2023,951,357.07999532923026
5112100,2022,286,202.35600780052897
5112100,2023,1324,680.3532492615724
511301,2012,2403,1147.5312494380833
511301,2013,778,399.66172830901905
511301,2014,929,362.4529957204384
511301,2015,377,216.87990377562355
511301,2016,356,356.00000000432937
511301,2017,1282,819.7383139369874
511301,2018,1469,612.484275393362
511301,2019,530,341.5110753326355
511301,2021,876,509.1850611139992
511301,2022,0,0
511301,2023,89,89.0000000010827
511302,2012,1630,557.8040445835109
511302,2013,1115,519.7921716174807
511302,2014,2356,811.481655808222
511302,2015,2152,676.6219692787331
511302,2016,1159,445.53979375151005
511302,2017,2601,741.5470210020042
511302,2018,668,275.4407049740904
511302,2019,440,239.86214042358245
511302,2021,238,147.14605160597446
511302,2022,569,270.13462739436335
511302,2023,694,293.4102137194585
5114300,2022,2511,586.9942690162926
5114300,2023,2383,553.249433386593
5114501,2022,131,67.32745164875405
5114501,2023,197.99999999999997,197.99999999587064
5114900,2022,3097,779.1488039694348
5114900,2023,1551,453.1870656177196
511500,2022,649,430.9068741109378
511500,2023,122,86.68328374353055
5115301,2022,672,241.85854604135702
5115301,2023,532,274.4481108517974
5115302,2022,1087,506.4365269015868
5115302,2023,1015,377.3963405611281
5115303,2022,1701,601.5797058503563
5115303,2023,276,199.13803950853227
5116101,2022,1154,309.32928214200825
5116101,2023,1274,476.64496678839856
5116500,2022,1246,374.54559924659924
5116500,2023,175,135.19240386311733
5117100,2022,299,153.58686699225112
5117100,2023,246,166.06613990039432
5117700,2022,2218,593.8087612798914
5117700,2023,1435,427.9075627779229
5117900,2022,1117,371.27583714090764
5117900,2023,532,246.60443867419124
5118500,2022,1945,667.4258255811195
5118500,2023,2080,601.4628208079548
511900,2022,51,51.000000001445315
511900,2023,700,324.5051089856919
5119100,2022,2252,642.1220606976366
5119100,2023,1908,657.4027521711988
514101,2012,779,523.4468686213615
514101,2013,526,226.96639804015894
514101,2014,416,178.77874800117274
514101,2015,2939,832.5250941077145
514101,2016,4083,1121.6700060023782
514101,2017,1447,509.7832185392869
514101,2018,2494,670.1443769192504
514101,2019,563,218.93537017946258
514101,2021,904,382.4490066016656
514101,2022,0,0
514101,2023,641,235.63233835879223
514102,2012,659,301.4972842377647
514102,2013,407,244.16977764841957
514102,2014,1068,638.7168175334468
514102,2015,1470,591.8039845736739
514102,2016,0,0
514102,2017,562,345.14022939746036
514102,2018,978,501.66443407985395
514102,2019,248,156.33284416265877
514102,2021,1131,365.3213746114782
514102,2022,1159,416.82571881464503
514102,2023,964,358.0769411152377
514103,2012,293,210.29729674599469
514103,2013,395,179.99683456586982
514103,2014,44,44.00000000046638
514103,2015,546,337.30963804402
514103,2016,1336,537.3270058139882
514103,2017,722,360.6543475593037
514103,2018,208,157.0795308580019
514103,2019,0,0
514103,2021,262,241.00619926095297
