GEOID,YEAR,coef,_se
514103,2022,54,53.999999999182315
514103,2023,382,194.47847690456723
5151000,2022,224,134.19375428332148
5151000,2023,253,119.21805144909257
5151010,2012,4914,1092.127322881141
5151010,2013,2018,630.015754786459
5151010,2014,4653,1172.489707092978
5151010,2015,1563,480.6292783328548
5151010,2016,3464,1085.0418353519194
5151010,2017,1967,654.4150946046939
5151010,2018,2030,558.0678274148239
5151010,2019,616,306.100763535611
5151010,2021,2417,705.3389024968023
5151020,2012,977,324.15743268246723
5151020,2013,1006,338.51881334814493
5151020,2014,2505,698.9166390025756
5151020,2015,1533,406.9011356263381
5151020,2016,795,283.89853392358896
5151020,2017,2292,940.1143908580735
5151020,2018,1489,387.41536724014003
5151020,2019,1176,438.203897370396
5151020,2021,983,313.36244208874615
5151040,2012,768,397.28517765380093
5151040,2013,1310,522.8311118141118
5151040,2014,3126,1001.9561382366683
5151040,2015,386,181.5154787067227
5151040,2016,3860,1097.7497628619303
5151040,2017,476,221.33187647027978
5151040,2018,2076,770.7592398087362
5151040,2019,1443,664.9173998575424
5151040,2021,936,465.5311544035311
5151044,2012,1676,479.1837731741252
5151044,2013,1640,599.4975977595116
5151044,2014,878,325.12343680563845
5151044,2015,1366,536.6192493767417
5151044,2016,299,183.20736059559215
5151044,2017,3080,1007.9744236773827
5151044,2018,956,484.53610120725267
5151044,2019,737,335.2708066139681
5151044,2021,904,420.7841220957905
5151045,2012,726,275.0045279965635
5151045,2013,925,344.3256714508744
5151045,2014,1378,414.39600675481205
5151045,2015,1330,375.1321929134494
5151045,2016,470,362.5436511962456
5151045,2017,1650,586.2792123908798
5151045,2018,594,355.50210180584304
5151045,2019,255,135.56159981808622
5151045,2021,1412,500.4857962483622
5151080,2012,1081,386.41926646101484
5151080,2013,628,233.68700535246708
5151080,2014,1494,579.185513609311
5151080,2015,2034,618.1065938111328
5151080,2016,539,278.7880194564062
5151080,2017,1469,567.7384327252954
5151080,2018,474,238.08362054498522
5151080,2019,251,156.73211736700196
5151080,2021,349,172.18274007505937
5151084,2012,646,495.7961339303224
5151084,2013,143,111.07200747116694
5151084,2014,1150,660.9773069864688
5151084,2015,1368,780.7269532809856
5151084,2016,524,312.1182468609029
5151084,2017,98.99999999999999,98.99999999793496
5151084,2018,634,281.6090122691894
5151084,2019,2100,782.5865532740269
5151084,2021,1562,679.4863995098945
5151085,2012,480,264.0716164961407
5151085,2013,892,245.83972440533478
5151085,2014,679,303.0389137519761
5151085,2015,2497,992.5618742168841
5151085,2016,948,453.53193683933
5151085,2017,336,205.52352723139975
5151085,2018,574,237.02677383489907
5151085,2019,1400,507.90558058418713
5151085,2021,190,113.35772473141392
5151087,2012,2065,706.1110036328064
5151087,2013,665,361.38711687189357
5151087,2014,788,384.28045197819216
5151087,2015,1421,474.07908033447393
5151087,2016,1424,608.6822892914083
5151087,2017,163,115.31255360728717
5151087,2018,1546,502.85344536750733
5151087,2019,550,338.7149067328507
5151087,2021,501,258.5397302629153
5151089,2012,4414,1867.9528757625967
5151089,2013,3094,704.3676273391363
5151089,2014,880,273.6333502941268
5151089,2015,1110,366.3751639331758
5151089,2016,3315,1021.6554085264399
5151089,2017,1012,431.1090972806339
5151089,2018,1034,606.3309394431769
5151089,2019,866,532.9253925658098
5151089,2021,1407,513.1364951533245
5151090,2012,330,155.96122765460166
5151090,2013,1950,677.3184078928215
5151090,2014,751,366.9829905836994
5151090,2015,2273,618.9665585541644
5151090,2016,2071,738.2592863580678
5151090,2017,223,133.0299358939497
5151090,2018,1539,509.6750138087094
5151090,2019,344,183.9834357680327
5151090,2021,82,82.00000000074408
5151095,2012,1037,358.2819155945325
5151095,2013,297,139.28719371217485
5151095,2014,625,229.06465965073997
5151095,2015,645,253.00711977852902
5151095,2016,1109,406.75029009254786
5151095,2017,291,291.0000000109408
5151095,2018,1209,367.0034088748262
5151095,2019,92,92.00000000233855
5151095,2021,263,185.98107691208594
5151096,2012,1206,493.09292503864884
5151096,2013,1768,590.0261558747968
5151096,2014,1911,641.6504831624426
5151096,2015,1330,518.594549587317
5151096,2016,915,421.3339000667817
5151096,2017,1549,461.5891377650929
5151096,2018,2730,1059.387962056513
5151096,2019,344,221.0518527053804
5151096,2021,578,335.07275274034345
5151097,2012,1874,635.8557165278094
5151097,2013,2622,487.1924750238763
5151097,2014,2525,760.4541117895917
5151097,2015,3003,899.9898527082977
5151097,2016,1116,374.71155927205683
5151097,2017,485,193.25831584673983
5151097,2018,3746,849.536918049162
5151097,2019,873,360.81613972489134
5151097,2021,1464,475.5416237806329
5151105,2012,4141,829.3530130363888
5151105,2013,3889,875.0330235487303
5151105,2014,4111,1014.6236175802031
5151105,2015,2030,777.0598625449101
5151105,2016,3366,949.1407840397063
5151105,2017,3273,969.0995655960159
5151105,2018,1871,703.6445177898073
5151105,2019,2645,688.9598238375418
5151105,2021,483,213.81016877769665
5151110,2012,506,200.18930098508895
5151110,2013,2005,580.5263496852302
5151110,2014,2197,701.7179685988316
5151110,2015,2126,693.6508063767882
5151110,2016,1680,562.2305318569412
5151110,2017,583,282.9217324517838
5151110,2018,1232,408.1280126844339
5151110,2019,105,75.45193159329847
5151110,2021,257,149.74962689973339
5151115,2012,558,289.21573773120747
5151115,2013,404,180.69823636055705
5151115,2014,1429,561.0677769328722
5151115,2015,1588,963.7054538879493
5151115,2016,2632,718.7466616339323
5151115,2017,0,0
5151115,2018,1082,362.7489862728526
5151115,2019,365,191.08346562330433
5151115,2021,708,328.0511479401635
5151120,2012,1185,366.6872873831323
5151120,2013,1893,443.73097406105313
5151120,2014,1916,821.0838064492721
5151120,2015,951,335.72921583834506
5151120,2016,1349,456.19861986380596
5151120,2017,3421,855.4674837226154
5151120,2018,1149,467.31975808407645
5151120,2019,1423,489.59062987651026
5151120,2021,2920,1061.196328122096
5151125,2012,1452,363.48833453980006
5151125,2013,1164,367.95736635121466
5151125,2014,747,278.40699995156666
5151125,2015,1541,578.197800842861
5151125,2016,352,263.63220325835835
5151125,2017,3267,1294.9721406606432
5151125,2018,3030,975.1618892480419
5151125,2019,351,190.7954454939104
5151125,2021,2446,693.4059340286551
5151135,2012,3532,854.2439594033162
5151135,2013,1867,600.8406385492766
5151135,2014,1777,623.942204902069
5151135,2015,5146,1177.4301140281375
5151135,2016,1260,365.8665864230722
5151135,2017,3288,749.8029284050806
5151135,2018,3146,868.964717642464
5151135,2019,615,303.7082106065287
5151135,2021,1114,465.2814670370453
5151145,2012,1215,449.4703123887135
5151145,2013,1513,431.8849691692349
5151145,2014,2487,668.3057103269437
5151145,2015,1216,515.9405308740148
5151145,2016,1753,657.0175176788666
5151145,2017,390,288.5306262583061
5151145,2018,969,641.6793629831484
5151145,2019,760,334.73194424621113
5151145,2021,869,374.94307070846395
5151154,2012,2802,643.2710197314595
5151154,2013,7396,1294.1700605560904
5151154,2014,2812,607.2277090077527
5151154,2015,5329,989.1461212316503
5151154,2016,3775,753.7410401131103
5151154,2017,3085,769.8096687673483
5151154,2018,2259,598.1802768907346
5151154,2019,3132,902.432183951812
5151154,2021,2071,558.1903889617355
5151155,2012,1894,673.3932451934862
5151155,2013,3139,856.144091349629
5151155,2014,3321,705.497776381767
5151155,2015,3073,805.1105962985135
5151155,2016,2401,665.9752198699224
5151155,2017,3183,920.312186102123
5151155,2018,4201,1199.959459431453
5151155,2019,2127,1094.7525958591289
5151155,2021,1548,548.6398043155713
5151164,2012,547,230.00156949657134
5151164,2013,600,264.3135874295257
5151164,2014,136,96.17686605235701
5151164,2015,229,132.22314676974202
5151164,2016,704,293.48856499991894
5151164,2017,1221,425.3933725944218
5151164,2018,1361,391.861049961955
5151164,2019,368,189.82594082798016
5151164,2021,364,269.71453901171844
5151165,2012,457,197.72407133814121
5151165,2013,847,354.5311440265122
5151165,2014,1666,559.545548145061
5151165,2015,1248,476.3491346212017
5151165,2016,210,177.6850749440815
5151165,2017,933,444.1646542619337
5151165,2018,360,188.98120018463555
5151165,2019,740,249.7107371938533
5151165,2021,3291,706.6394683315018
5151167,2012,591,421.616895282001
5151167,2013,845,461.56953376357325
5151167,2014,523,322.438844754151
5151167,2015,156,155.99999999738117
5151167,2016,664,328.09697322131746
5151167,2017,327,195.0920866241452
5151167,2018,634,268.37963331489874
5151167,2019,507,237.34104876990614
5151167,2021,373,373.00000000227925
5151175,2012,2560,573.0261539287662
5151175,2013,2067,745.6371804360026
5151175,2014,4061,948.2633598008366
5151175,2015,4227,992.8272479211213
5151175,2016,1928,594.5739677735916
5151175,2017,3002,883.6485210915125
5151175,2018,1656,632.4249805005261
5151175,2019,1113,465.9375996403778
5151175,2021,1273,467.9502302129268
5151186,2012,1584,671.2582784948131
5151186,2013,1815,1109.6506979202866
5151186,2014,1960,693.4019082945058
5151186,2015,1684,679.9612642376857
5151186,2016,1377,473.1248380450256
5151186,2017,915,438.6505125441464
5151186,2018,829,413.93286613892644
5151186,2019,1120,603.5619232940251
5151186,2021,1084,486.9383341574179
5151206,2012,563,360.93876109901385
5151206,2013,1210,383.05158005791634
5151206,2014,425,300.5210442806514
5151206,2015,0,0
5151206,2016,242,147.92551704881043
5151206,2017,75,74.99999999878199
5151206,2018,616,466.4502302151991
5151206,2019,1329,565.6742591760135
5151206,2021,734,584.4465565166687
5151215,2012,545,226.58491273287356
5151215,2013,232,179.20372622951854
5151215,2014,805,264.4510303764037
5151215,2015,252,103.17916618472115
5151215,2016,1273,543.1440911956962
5151215,2017,141,141.00000000035809
5151215,2018,1037,476.0189512325451
5151215,2019,208,188.17542648584077
5151215,2021,259,195.55809226038298
5151224,2012,315,230.3409383657821
5151224,2013,1907,914.0403919242915
5151224,2014,1713,818.2899508022873
5151224,2015,1701,667.2992107141857
5151224,2016,1310,624.6058783740809
5151224,2017,868,342.96250861938927
5151224,2018,678,315.64472683810305
5151224,2019,265,161.347296589832
5151224,2021,896,408.93677087932224
5151225,2012,1141,405.9331428530144
5151225,2013,2602,953.6253898634825
5151225,2014,1953,810.8411908511774
5151225,2015,453,266.5498988312857
5151225,2016,438,173.23919108487934
5151225,2017,210,134.23103425970524
5151225,2018,2754,804.5857129789188
5151225,2019,1618,689.4893629050741
5151225,2021,318,166.79903254719474
5151235,2012,3356,909.1601728573796
5151235,2013,4592,929.1464752954772
5151235,2014,4183,1020.1688213394483
5151235,2015,4856,1014.9209551891787
5151235,2016,4005,1293.3131030157838
5151235,2017,4429,1114.305281043415
5151235,2018,2141,1177.5251126830535
5151235,2019,4682,1257.1241147489745
5151235,2021,6913,1374.7942354330553
5151244,2012,464,269.7588536472152
5151244,2013,113,80.15605303817799
5151244,2014,0,0
5151244,2015,237,129.3017999452354
5151244,2016,0,0
5151244,2017,92,92.00000000234077
5151244,2018,475,244.74233989006973
5151244,2019,326,164.35300583691298
5151244,2021,1095,355.56123139174156
5151245,2012,368,286.39472710756695
5151245,2013,677,553.5240089770539
5151245,2014,4175,1066.2479111392724
5151245,2015,2358,841.4134079036671
5151245,2016,1991,691.8461286568945
5151245,2017,2904,715.3831550010021
5151245,2018,2072,709.7701900027123
5151245,2019,158,157.99999999796557
5151245,2021,1935,648.5362351902091
5151246,2012,1485,477.7517853896251
5151246,2013,2193,636.5830887231482
5151246,2014,3010,946.8256360786878
5151246,2015,5102,1151.6110951322196
5151246,2016,1122,469.9136391544222
5151246,2017,2370,633.0166759849961
5151246,2018,2628,638.2528214118114
5151246,2019,1735,851.6903315743242
5151246,2021,2179,689.6928138220846
5151255,2012,2509,1059.982623676893
5151255,2013,1622,708.8579529907056
5151255,2014,1023,438.20547172990035
5151255,2015,591,350.40368766509056
5151255,2016,4939,1048.8845059562268
5151255,2017,3455,1029.5847329549222
5151255,2018,1948,783.2805430694027
5151255,2019,1757,661.8398672269177
5151255,2021,2784,841.255044609721
5154001,2022,409,237.0039547856608
5154001,2023,2348,682.681699622057
5155001,2012,1452,515.1833846324269
5155001,2013,1366,429.87451930524463
5155001,2014,2127,722.2066754185643
5155001,2015,657,319.5318888764535
5155001,2016,2226,860.6574480795358
5155001,2017,1806,715.0320940145817
5155001,2018,363,262.6878930360495
5155001,2019,620,459.8236670431801
5155001,2021,555,343.3522759207792
5155001,2022,216,166.01198283089713
5155001,2023,4825,1186.1206976300937
5155002,2012,725,276.1675085534464
5155002,2013,1421,649.9563043475342
5155002,2014,0,0
5155002,2015,253,179.91376902673977
5155002,2016,125,125.0000000015474
5155002,2017,1193,691.6544899359735
5155002,2018,165,164.9999999992697
5155002,2019,331,194.45029959049356
5155002,2021,2215,1081.433669777122
5155002,2022,235,145.6878911334425
5155002,2023,187,187.00000000625275
515901,2022,882,307.5536191850777
515901,2023,2954,841.6049843315211
515902,2022,280,280.00000001027905
515902,2023,738,321.5890264862903
515904,2022,347,207.90120941684003
515904,2023,380,238.8260902606317
515905,2022,0,0
515905,2023,415,209.07141108675495
515906,2022,615,346.5064337085996
515906,2023,988,597.3987788560503
515907,2022,4885,1276.8139660972943
515907,2023,1898,596.1814613859641
515908,2022,1114,576.9011829391668
515908,2023,121,85.63288942274464
5159301,2012,4945,1432.478870418441
5159301,2013,4053,830.4596535839934
5159301,2014,2998,914.0518572169822
5159301,2015,4324,987.1271423707065
5159301,2016,2326,700.7128136530688
5159301,2017,1985,599.0901080085281
5159301,2018,1267,509.8014136440304
5159301,2019,1896,756.3151379482567
5159301,2021,3059,795.7268075013404
5159302,2012,1738,581.35786899775
5159302,2013,2323,1045.7419104170854
5159302,2014,1042,596.188875807309
5159302,2015,2091,735.5723454971558
5159302,2016,453,349.9498629864043
5159302,2017,1534,588.2293212358779
5159302,2018,2195,659.9182169685242
5159302,2019,462,269.46955493616326
5159302,2021,1621,705.9125983254171
5159303,2012,281,179.87481033533086
5159303,2013,488,345.6354525090039
5159303,2014,1348,673.8267295323222
5159303,2015,451,269.65691624617267
5159303,2016,0,0
5159303,2017,885,351.5739686606528
5159303,2018,1087,472.9100535174241
5159303,2019,975,562.9158770644817
5159303,2021,604,204.68911914466094
5159304,2012,144,143.99999999533608
5159304,2013,1277,613.571172911471
5159304,2014,120,120.00000000207623
5159304,2015,0,0
5159304,2016,58,57.99999999843119
5159304,2017,78,77.99999999869078
5159304,2018,918,423.56020973203323
5159304,2019,154,111.22044413027123
5159304,2021,876,359.23151235654854
5159305,2012,421,221.3387793311003
5159305,2013,433,230.42753372595277
5159305,2014,574,267.48403476270465
5159305,2015,92,92.00000000233908
5159305,2016,685,289.92855193570637
5159305,2017,1028,393.3585918523755
5159305,2018,133,98.00505535805443
5159305,2019,208,120.87169915311364
5159305,2021,108,107.99999999836426
5159306,2012,2304,535.4664617408812
5159306,2013,1297,464.8734721257219
5159306,2014,873,422.4693375666859
5159306,2015,254,152.53836711300653
5159306,2016,452,239.69529457090073
5159306,2017,377,376.99999999073844
5159306,2018,1716,648.5114886125579
5159306,2019,538,328.53279153455156
5159306,2021,219,127.72221528171087
5159307,2012,2111,667.7023835978716
5159307,2013,1945,600.5390386319732
5159307,2014,1541,518.5774995974317
5159307,2015,2456,749.4743660261651
5159307,2016,149,106.04238602128167
5159307,2017,439,372.4257496734284
5159307,2018,836,378.6546882662641
5159307,2019,269,269.00000000501893
5159307,2021,1904,630.7981904512972
5159308,2012,197,139.34481730659326
5159308,2013,1086,585.5775403505307
5159308,2014,1248,465.62698230849196
5159308,2015,456,263.5030239976148
5159308,2016,1231,485.43130871814105
5159308,2017,647,354.2099223775798
5159308,2018,86,85.99999999872229
5159308,2019,522,247.75342926083027
5159308,2021,586,391.4099964550074
5159309,2012,347,176.01391722039668
5159309,2013,1239,619.5899454609461
5159309,2014,665,417.14349717928627
5159309,2015,306,138.97451603025843
5159309,2016,785,353.32767416455465
5159309,2017,2383,698.7811826438871
5159309,2018,1305,623.988395041925
5159309,2019,461,273.23404689584765
5159309,2021,3300,994.9908668304041
5160001,2022,746,280.2631985728638
5160001,2023,518,223.95480289038022
516100,2022,740,416.5640139801338
516100,2023,448,165.52886267420934
5161001,2022,154,109.48053141579166
5161001,2023,225,166.4120612108508
5165000,2022,1701,525.3665820572743
5165000,2023,749,259.92776499632186
5168000,2022,1036,430.88629366012873
5168000,2023,1892,429.3601838121336
5168701,2022,2185,667.0398137907649
5168701,2023,1749,811.9398322598394
516900,2022,751,422.2730924832488
516900,2023,923,694.9896283810735
5170000,2022,1660,679.7289247090412
5170000,2023,1579,575.7869049570086
5171001,2022,1393,897.7470241832426
5171001,2023,917,394.3022017588557
5171002,2022,3110,923.0688187569702
5171002,2023,877,337.9707986691271
517300,2022,1683,625.434444449353
517300,2023,1826,683.936228291442
5174001,2022,747,273.4601516500457
5174001,2023,950,711.5655646478244
5176001,2022,215,152.75134748487963
5176001,2023,316,188.0848936354054
5176002,2022,2855,946.292137818862
5176002,2023,319,319.0000000000472
5177001,2022,1585,492.79654867538653
5177001,2023,561,333.35082147550514
5180000,2022,490,192.36364195775786
5180000,2023,456,347.7957760231502
5181001,2022,188,110.44443794484718
5181001,2023,494,240.47409385384995
5181002,2022,1658,465.9046491014384
5181002,2023,4048,1176.0115070059144
5181003,2022,245,141.46008212237945
5181003,2023,0,0
518300,2022,4382,1148.2046043381924
518300,2023,1744,564.7042825714806
518501,2022,801,407.0509339281125
518501,2023,169,116.88020868076654
518701,2022,2059,725.6685255479982
518701,2023,362,252.73686747833446
518702,2022,1574,510.59719719022877
518702,2023,602,253.17121336732905
519500,2022,748,433.8358916776756
519500,2023,191,135.05917003912649
