state,puma12,puma22,stab,PUMA12name,PUMA22name,pop20,afact,AFACT2
State code,PUMA (2012),PUMA (2022),State abbr.,PUMA12 name,PUMA22 name,Total population (2020 Census),puma12-to-puma22 allocation factor,puma22-to-puma12 allocation factor
1,1700,1700,AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties","Autauga, Dallas, Lowndes & Perry Counties",46973,0.3805,0.4046
1,1800,1502,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities,45014,0.3424,0.3447
1,1800,2000,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",86470,0.6576,0.7431
1,1900,2101,AL,Lee County--Auburn City,Lee County (West)--Auburn & Opelika Cities,127904,0.7341,1
1,1900,2201,AL,Lee County--Auburn City,Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,46337,0.2659,0.4391
1,2000,1801,AL,Montgomery City & Pike Road Town (North),Montgomery City (West),102562,0.5219,0.9374
1,2000,1802,AL,Montgomery City & Pike Road Town (North),Montgomery City (East) & Pike Road Town (Northwest),93949,0.4781,0.8908
1,2100,1700,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties","Autauga, Dallas, Lowndes & Perry Counties",69116,0.3647,0.5954
1,2100,1801,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Montgomery City (West),6847,0.0361,0.0626
1,2100,1802,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Montgomery City (East) & Pike Road Town (Northwest),11522,0.0608,0.1092
1,2100,1901,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",Elmore & Montgomery (South & Far East) Counties,102051,0.5384,1
1,2200,2600,AL,Southwest Alabama,Southwest Alabama,129866,1,1
1,2300,2400,AL,"Coffee, Covington, Butler & Crenshaw Counties",Coffee & Dale Counties,53465,0.4337,0.5209
1,2300,2500,AL,"Coffee, Covington, Butler & Crenshaw Counties","Covington, Pike, Barbour, Butler & Crenshaw Counties",69815,0.5663,0.5452
1,2400,2000,AL,"Russell, Pike, Barbour, Macon & Bullock Counties","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",29889,0.2029,0.2569
1,2400,2201,AL,"Russell, Pike, Barbour, Macon & Bullock Counties",Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,59183,0.4018,0.5609
1,2400,2500,AL,"Russell, Pike, Barbour, Macon & Bullock Counties","Covington, Pike, Barbour, Butler & Crenshaw Counties",58232,0.3953,0.4548
1,2500,2300,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City","Houston, Geneva & Henry Counties--Dothan City",151162,0.7546,1
1,2500,2400,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",Coffee & Dale Counties,49171,0.2454,0.4791
1,2600,2701,AL,Baldwin County,"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,0.5118,1
1,2600,2702,AL,Baldwin County,"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,0.4882,1
1,2701,2803,AL,Mobile City (East),Mobile City (East),99024,1,0.6788
1,2702,2802,AL,Mobile City (West),Mobile City (West) & Tillmans Corner CDP,63798,0.5767,0.4915
1,2702,2803,AL,Mobile City (West),Mobile City (East),46833,0.4233,0.321
1,2703,2801,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile County (Outer)--Prichard & Saraland Cities,139133,0.6782,1
1,2703,2802,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile City (West) & Tillmans Corner CDP,65999,0.3217,0.5085
1,2703,2803,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",Mobile City (East),22,0.0001,0.0002
2,101,101,AK,Anchorage Municipality (North),Anchorage Municipality (North),131871,0.993,0.9991
2,101,102,AK,Anchorage Municipality (North),Anchorage Municipality (South),763,0.0057,0.0048
2,101,200,AK,Anchorage Municipality (North),Matanuska-Susitna & Kenai Peninsula Boroughs,166,0.0012,0.001
2,102,101,AK,Anchorage Municipality (South),Anchorage Municipality (North),62,0.0004,0.0005
2,102,102,AK,Anchorage Municipality (South),Anchorage Municipality (South),158495,0.9996,0.9952
2,102,200,AK,Anchorage Municipality (South),Matanuska-Susitna & Kenai Peninsula Boroughs,1,0,0
2,200,101,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,Anchorage Municipality (North),56,0.0003,0.0004
2,200,200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,Matanuska-Susitna & Kenai Peninsula Boroughs,165713,0.9995,0.999
2,200,300,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",22,0.0001,0.0001
2,300,300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",163215,0.9996,0.9993
2,300,400,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",Subsistence Alaska,64,0.0004,0.0006
2,400,300,AK,Subsistence Alaska,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",87,0.0008,0.0005
2,400,400,AK,Subsistence Alaska,Subsistence Alaska,112876,0.9992,0.9994
4,100,105,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,Maricopa County--Gilbert Town (North),13183,0.0735,0.0794
4,100,135,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,Maricopa County--Gilbert (South) & Queen Creek Towns,166157,0.9265,0.9987
4,101,101,AZ,Maricopa County--Mesa City (East),Maricopa County--Mesa City (East),185881,0.9988,1
4,101,135,AZ,Maricopa County--Mesa City (East),Maricopa County--Gilbert (South) & Queen Creek Towns,214,0.0011,0.0013
4,102,102,AZ,Maricopa County--Mesa City (North Central),Maricopa County--Mesa City (North Central),144044,0.9998,1
4,102,111,AZ,Maricopa County--Mesa City (North Central),Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,22,0.0002,0.0002
4,103,103,AZ,Maricopa County--Mesa City (West),Maricopa County--Mesa City (West),114776,1,0.9489
4,104,104,AZ,Maricopa County--Mesa City (South Central),Maricopa County--Mesa City (South Central),106653,1,1
4,105,105,AZ,Maricopa County--Gilbert Town (North),Maricopa County--Gilbert Town (North),152752,0.9969,0.9206
4,105,106,AZ,Maricopa County--Gilbert Town (North),Maricopa County--Chandler City (Northeast),480,0.0031,0.0039
4,106,106,AZ,Maricopa County--Chandler City (Northeast),Maricopa County--Chandler City (Northeast),121782,1,0.9924
4,107,106,AZ,Maricopa County--Chandler City (South),Maricopa County--Chandler City (Northeast),448,0.0035,0.0037
4,107,107,AZ,Maricopa County--Chandler City (South),Maricopa County--Chandler City (South),128103,0.9965,1
4,108,108,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,107949,0.9995,0.9988
4,108,109,AZ,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,Maricopa County--Tempe City (North),49,0.0005,0.0005
4,109,103,AZ,Maricopa County--Tempe City (North),Maricopa County--Mesa City (West),6175,0.0526,0.0511
4,109,109,AZ,Maricopa County--Tempe City (North),Maricopa County--Tempe City (North),108461,0.9246,0.999
4,109,118,AZ,Maricopa County--Tempe City (North),Phoenix City--Downtown & Sky Harbor International Airport,2670,0.0228,0.023
4,110,110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,127088,0.9908,0.9931
4,110,111,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,678,0.0053,0.006
4,110,113,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Phoenix City (Northeast),31,0.0002,0.0003
4,110,117,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,Phoenix City (East),471,0.0037,0.0043
4,111,110,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,157,0.0014,0.0012
4,111,111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,111336,0.9982,0.9928
4,111,112,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",24,0.0002,0.0002
4,111,803,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,Pinal County (North)--Apache Junction City,23,0.0002,0.0002
4,112,111,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,95,0.0007,0.0008
4,112,112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130703,0.9978,0.9998
4,112,113,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",Phoenix City (Northeast),193,0.0015,0.0018
4,113,110,AZ,Phoenix City (Northeast),Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,331,0.0031,0.0026
4,113,113,AZ,Phoenix City (Northeast),Phoenix City (Northeast),104469,0.9932,0.9979
4,113,117,AZ,Phoenix City (Northeast),Phoenix City (East),380,0.0036,0.0035
4,114,114,AZ,Phoenix City (Northeast Central),Phoenix City (Northeast Central),111355,1,1
4,115,115,AZ,Phoenix City (Northwest Central),Phoenix City (Northwest Central),109655,1,1
4,116,116,AZ,Phoenix City (Uptown),Phoenix City (Uptown),110648,1,1
4,117,110,AZ,Phoenix City (East),Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,401,0.0038,0.0031
4,117,117,AZ,Phoenix City (East),Phoenix City (East),104092,0.9959,0.9468
4,117,118,AZ,Phoenix City (East),Phoenix City--Downtown & Sky Harbor International Airport,25,0.0002,0.0002
4,118,117,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City (East),5003,0.0422,0.0455
4,118,118,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City--Downtown & Sky Harbor International Airport,113437,0.9568,0.9767
4,118,119,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix City (South),13,0.0001,0.0001
4,118,121,AZ,Phoenix City--Downtown & Sky Harbor International Airport,Phoenix (Southwest) & Tolleson Cities,111,0.0009,0.0007
4,119,109,AZ,Phoenix City (South),Maricopa County--Tempe City (North),55,0.0005,0.0005
4,119,118,AZ,Phoenix City (South),Phoenix City--Downtown & Sky Harbor International Airport,14,0.0001,0.0001
4,119,119,AZ,Phoenix City (South),Phoenix City (South),117218,0.9992,0.9999
4,119,120,AZ,Phoenix City (South),Phoenix City--Ahwatukee & South Mountain,17,0.0001,0.0002
4,119,121,AZ,Phoenix City (South),Phoenix (Southwest) & Tolleson Cities,11,0.0001,0.0001
4,120,108,AZ,Phoenix City--Ahwatukee & South Mountain,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,130,0.0012,0.0012
4,120,120,AZ,Phoenix City--Ahwatukee & South Mountain,Phoenix City--Ahwatukee & South Mountain,108553,0.9984,0.9998
4,120,121,AZ,Phoenix City--Ahwatukee & South Mountain,Phoenix (Southwest) & Tolleson Cities,41,0.0004,0.0002
4,121,121,AZ,Phoenix (Southwest) & Tolleson Cities,Phoenix (Southwest) & Tolleson Cities,151321,0.9999,0.9073
4,121,134,AZ,Phoenix (Southwest) & Tolleson Cities,Maricopa County (West) & Gila River Indian Community (Northwest),22,0.0001,0.0001
4,122,121,AZ,Phoenix City--Maryvale (East),Phoenix (Southwest) & Tolleson Cities,10001,0.0891,0.06
4,122,122,AZ,Phoenix City--Maryvale (East),Phoenix City--Maryvale (East),102202,0.9108,1
4,122,124,AZ,Phoenix City--Maryvale (East),Maricopa County--Glendale City (South),10,0.0001,0.0001
4,123,121,AZ,Phoenix City--Maryvale (West),Phoenix (Southwest) & Tolleson Cities,5294,0.0437,0.0317
4,123,123,AZ,Phoenix City--Maryvale (West),Phoenix City--Maryvale (West),115847,0.9561,1
4,123,124,AZ,Phoenix City--Maryvale (West),Maricopa County--Glendale City (South),25,0.0002,0.0002
4,124,124,AZ,Maricopa County--Glendale City (South),Maricopa County--Glendale City (South),114407,0.9966,0.9997
4,124,125,AZ,Maricopa County--Glendale City (South),Phoenix City (West),392,0.0034,0.0034
4,125,125,AZ,Phoenix City (West),Phoenix City (West),113774,1,0.9933
4,126,125,AZ,Maricopa County--Glendale City (North),Phoenix City (West),380,0.0029,0.0033
4,126,126,AZ,Maricopa County--Glendale City (North),Maricopa County--Glendale City (North),128549,0.9801,0.9893
4,126,127,AZ,Maricopa County--Glendale City (North),Maricopa County--Peoria City (South & Central),1568,0.012,0.0129
4,126,128,AZ,Maricopa County--Glendale City (North),Phoenix City (North),663,0.0051,0.006
4,127,126,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--Glendale City (North),1378,0.0114,0.0106
4,127,127,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--Peoria City (South & Central),118145,0.9765,0.9743
4,127,130,AZ,Maricopa County--Peoria City (South & Central),Maricopa County--El Mirage & Sun City,1465,0.0121,0.0116
4,128,126,AZ,Phoenix City (North),Maricopa County--Glendale City (North),6,0.0001,0
4,128,128,AZ,Phoenix City (North),Phoenix City (North),108231,0.9999,0.9816
4,129,127,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Maricopa County--Peoria City (South & Central),291,0.002,0.0024
4,129,128,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Phoenix City (North),1363,0.0096,0.0124
4,129,129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Phoenix (Far North) & Peoria (Northwest) Cities,140573,0.9882,1
4,129,130,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,Maricopa County--El Mirage & Sun City,25,0.0002,0.0002
4,130,127,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County--Peoria City (South & Central),1255,0.01,0.0103
4,130,130,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County--El Mirage & Sun City,124301,0.9899,0.9816
4,130,134,AZ,Maricopa County--El Mirage City & Sun City,Maricopa County (West) & Gila River Indian Community (Northwest),11,0.0001,0.0001
4,131,130,AZ,Maricopa County--Surprise City (Central),Maricopa County--El Mirage & Sun City,346,0.0028,0.0027
4,131,131,AZ,Maricopa County--Surprise City (Central),Maricopa County--Surprise City (Central),123399,0.9972,1
4,132,124,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County--Glendale City (South),3,0,0
4,132,132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities","Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",145701,0.9865,0.9928
4,132,133,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,1063,0.0072,0.0087
4,132,134,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",Maricopa County (West) & Gila River Indian Community (Northwest),929,0.0063,0.0055
4,133,132,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",40,0.0003,0.0003
4,133,133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,121820,0.9997,0.9913
4,134,130,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Maricopa County--El Mirage & Sun City,490,0.0029,0.0039
4,134,132,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",1010,0.006,0.0069
4,134,134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Maricopa County (West) & Gila River Indian Community (Northwest),167724,0.991,0.9943
4,134,807,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",14,0.0001,0.0001
4,134,2503,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),Yavapai Rural,9,0.0001,0.0001
4,201,1901,AZ,Pima County (West),Pima County (West),104334,0.9979,0.9356
4,201,1902,AZ,Pima County (West),Tucson City (West) & Marana Town,160,0.0015,0.0012
4,201,1905,AZ,Pima County (West),Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,59,0.0006,0.0005
4,202,805,AZ,Tucson (West) & Marana Cities,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",16,0.0001,0.0001
4,202,1901,AZ,Tucson (West) & Marana Cities,Pima County (West),7115,0.0548,0.0638
4,202,1902,AZ,Tucson (West) & Marana Cities,Tucson City (West) & Marana Town,122619,0.9438,0.8942
4,202,1903,AZ,Tucson (West) & Marana Cities,Pima County (North Central)--Oro Valley Town,167,0.0013,0.0014
4,203,1902,AZ,Pima County (North Central)--Oro Valley Town,Tucson City (West) & Marana Town,14335,0.1194,0.1045
4,203,1903,AZ,Pima County (North Central)--Oro Valley Town,Pima County (North Central)--Oro Valley Town,105692,0.8802,0.9009
4,203,1904,AZ,Pima County (North Central)--Oro Valley Town,Pima County (Northeast),44,0.0004,0.0004
4,204,1903,AZ,Pima County (Northeast),Pima County (North Central)--Oro Valley Town,2,0,0
4,204,1904,AZ,Pima County (Northeast),Pima County (Northeast),109219,1,0.9959
